個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),398000,22.61,2330.TW
台股期貨10/26(FITXN*1.TF),65,14.24,FITXN*1.TF
聯發科(2454.TW),64500,7.02,2454.TW
日月光投控(3711.TW),238000,3.48,3711.TW
台光電(2383.TW),23000,2.93,2383.TW
信驊(5274.TW),5840,2.51,5274.TW
元大金(2885.TW),1446960,2.45,2885.TW
聯電(2303.TW),651000,2.21,2303.TW
廣達(2382.TW),266000,2.11,2382.TW
聯詠(3034.TW),155000,2.06,3034.TW
第一金(2892.TW),2040000,1.94,2892.TW
台達電(2308.TW),49000,1.89,2308.TW
崇越(5434.TW),142000,1.83,5434.TW
帆宣(6196.TW),147000,1.82,6196.TW
興富發(2542.TW),1664000,1.82,2542.TW
矽格(6257.TW),359000,1.8,6257.TW
聯強(2347.TW),830000,1.78,2347.TW
材料*-KY(4763.TW),1417000,1.67,4763.TW
大成鋼(2027.TW),1431000,1.56,2027.TW
永豐金(2890.TW),1387500,1.48,2890.TW
台新新光金(2887.TW),1410150,1.47,2887.TW
威剛(3260.TW),136000,1.29,3260.TW
旺矽(6223.TW),9500,1.27,6223.TW
奇鋐(3017.TW),16000,1.26,3017.TW
研華(2395.TW),77000,1.23,2395.TW
凱基金(2883.TW),1297000,1.2,2883.TW
鴻勁(7769.TW),8000,1.2,7769.TW
慧洋-KY(2637.TW),483000,1.16,2637.TW
群聯(8299.TW),25000,1.15,8299.TW
川湖(2059.TW),4000,1.14,2059.TW
矽創(8016.TW),169000,1.12,8016.TW
偉詮電(2436.TW),672000,1.09,2436.TW
瑞昱(2379.TW),62000,1.06,2379.TW
飛捷(6206.TW),314000,1.02,6206.TW
華碩(2357.TW),39000,0.87,2357.TW
智邦(2345.TW),19000,0.85,2345.TW
致新(8081.TW),135000,0.79,8081.TW
南亞(1303.TW),131000,0.73,1303.TW
致茂(2360.TW),14000,0.72,2360.TW
鴻海(2317.TW),113000,0.67,2317.TW
創意(3443.TW),4000,0.61,3443.TW
寶雅*(5904.TW),278000,0.48,5904.TW
鈊象(3293.TW),28000,0.47,3293.TW
家登(3680.TW),38000,0.46,3680.TW
欣銓(3264.TW),82000,0.45,3264.TW
順德(2351.TW),65000,0.4,2351.TW
光寶科(2301.TW),39000,0.26,2301.TW
欣興(3037.TW),10000,0.23,3037.TW
洋基工程(6691.TW),12600,0.18,6691.TW
穎崴(6515.TW),1000,0.16,6515.TW
精材(3374.TW),10000,0.1,3374.TW
iShares MSCI Japan SRI ETF(2851.JP),92000,0.1,2851.JP
凌航(3135.TW),13733,0.05,3135.TW
遠東銀(2845.TW),52173,0.02,2845.TW
台指選擇權11/26 50400 買權,-18,-0.01,
台指選擇權10/26 49500 買權,-353,-0.13,
