個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),336000,8.0,2330.TW
聯發科(2454.TW),133000,6.66,2454.TW
台光電(2383.TW),98000,4.6,2383.TW
創意(3443.TW),50000,4.05,3443.TW
旺矽(6223.TW),77000,3.98,6223.TW
南亞(1303.TW),1629000,3.64,1303.TW
奇鋐(3017.TW),105000,3.44,3017.TW
川湖(2059.TW),28000,3.43,2059.TW
欣興(3037.TW),305000,3.3,3037.TW
南亞科(2408.TW),665000,3.19,2408.TW
信驊(5274.TW),15600,3.15,5274.TW
智邦(2345.TW),138000,2.55,2345.TW
台燿(6274.TW),183000,2.55,6274.TW
景碩(3189.TW),266000,2.34,3189.TW
緯穎(6669.TW),109191,2.23,6669.TW
貿聯-KY(3665.TW),99000,2.15,3665.TW
高力(8996.TW),134000,2.14,8996.TW
華邦電(2344.TW),1260000,2.08,2344.TW
南電(8046.TW),181000,2.04,8046.TW
金像電(2368.TW),200000,2.01,2368.TW
台達電(2308.TW),108000,1.98,2308.TW
聯電(2303.TW),1197000,1.85,2303.TW
全新(2455.TW),348000,1.84,2455.TW
臻鼎-KY(4958.TW),388000,1.83,4958.TW
大立光(3008.TW),29000,1.8,3008.TW
穎崴(6515.TW),32000,1.78,6515.TW
緯創(3231.TW),1003000,1.75,3231.TW
富世達(6805.TW),72000,1.74,6805.TW
台指期貨 2026/10(FITXN*1.TF),19,1.71,FITXN*1.TF
欣銓(3264.TW),559000,1.49,3264.TW
聯亞(3081.TW),46000,1.26,3081.TW
健策(3653.TW),22000,1.24,3653.TW
亞翔(6139.TW),165000,1.14,6139.TW
國巨*(2327.TW),163000,0.9,2327.TW
頎邦(6147.TW),378000,0.8,6147.TW
旺宏(2337.TW),637000,0.73,2337.TW
宜鼎(5289.TW),52872,0.66,5289.TW
勤誠(8210.TW),75000,0.65,8210.TW
精測(6510.TW),18000,0.64,6510.TW
文曄(3036.TW),312000,0.62,3036.TW
金居(8358.TW),121000,0.57,8358.TW
弘塑(3131.TW),24000,0.56,3131.TW
群聯(8299.TW),24000,0.51,8299.TW
力成(6239.TW),165000,0.47,6239.TW
健鼎(3044.TW),90000,0.47,3044.TW
京元電子(2449.TW),134000,0.41,2449.TW
聯強(2347.TW),448000,0.39,2347.TW
大聯大(3702.TW),359000,0.39,3702.TW
矽力*-KY(6415.TW),93000,0.39,6415.TW
晶技(3042.TW),196000,0.35,3042.TW
華通(2313.TW),165000,0.35,2313.TW
元大金(2885.TW),105360,0.07,2885.TW
