個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),316000.0,22.26,2330.TW
臺股期貨08/26,,16.23,
聯發科(2454.TW),59500.0,6.42,2454.TW
日月光投控(3711.TW),194000.0,3.83,3711.TW
台達電(2308.TW),69000.0,3.76,2308.TW
聯電(2303.TW),589000.0,2.82,2303.TW
中信金(2891.TW),1446000.0,2.65,2891.TW
廣達(2382.TW),240000.0,2.64,2382.TW
元大金(2885.TW),1204000.0,2.33,2885.TW
聯詠(3034.TW),150000.0,2.04,3034.TW
凱基金(2883.TW),2288000.0,1.99,2883.TW
長榮航(2618.TW),1598000.0,1.94,2618.TW
信驊(5274.TW),4840.0,1.94,5274.TW
台光電(2383.TW),13000.0,1.91,2383.TW
聯強(2347.TW),747000.0,1.88,2347.TW
矽格(6257.TW),263000.0,1.8,6257.TW
寶雅(5904.TW),92000.0,1.8,5904.TW
崇越(5434.TW),110000.0,1.77,5434.TW
原相(3227.TW),307000.0,1.74,3227.TW
聯陽(3014.TW),447000.0,1.73,3014.TW
健鼎(3044.TW),140000.0,1.72,3044.TW
致新(8081.TW),223000.0,1.67,8081.TW
鈊象(3293.TW),80000.0,1.63,3293.TW
台星科(3265.TW),255000.0,1.25,3265.TW
優群(3217.TW),264000.0,1.2,3217.TW
瑞鼎(3592.TW),165000.0,1.19,3592.TW
群聯(8299.TW),18000.0,1.09,8299.TW
致茂(2360.TW),19000.0,1.05,2360.TW
新普(6121.TW),94000.0,1.04,6121.TW
欣銓(3264.TW),154000.0,1.0,3264.TW
智邦(2345.TW),14000.0,0.95,2345.TW
旺矽(6223.TW),4500.0,0.82,6223.TW
世界(5347.TW),143000.0,0.77,5347.TW
國巨*(2327.TW),31000.0,0.71,2327.TW
奇鋐(3017.TW),11000.0,0.69,3017.TW
欣興(3037.TW),20000.0,0.54,3037.TW
南亞(1303.TW),68000.0,0.45,1303.TW
鴻海(2317.TW),61000.0,0.42,2317.TW
威剛(3260.TW),34000.0,0.4,3260.TW
帆宣(6196.TW),23000.0,0.39,6196.TW
景碩(3189.TW),14000.0,0.34,3189.TW
穎崴(6515.TW),1500.0,0.31,6515.TW
巨漢(6903.TW),25000.0,0.29,6903.TW
亞翔(6139.TW),10000.0,0.26,6139.TW
永豐金(2890.TW),205000.0,0.24,2890.TW
愛普*(6531.TW),8000.0,0.22,6531.TW
英業達(2356.TW),118000.0,0.21,2356.TW
環球晶(6488.TW),4000.0,0.17,6488.TW
力成(6239.TW),18000.0,0.16,6239.TW
創意(3443.TW),1000.0,0.12,3443.TW
矽創(8016.TW),12000.0,0.1,8016.TW
臺指選擇權09/26 50300 買權,,-0.02,
臺指選擇權08/26 49100 買權,,-0.32,
