個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),11960000,10.74,2330.TW
台光電(2383.TW),4653000,8.37,2383.TW
聯發科(2454.TW),5131000,7.01,2454.TW
國巨*(2327.TW),25098000,6.26,2327.TW
旺矽(6223.TW),2443000,5.35,6223.TW
智邦(2345.TW),6334000,5.24,2345.TW
欣興(3037.TW),16971000,5.21,3037.TW
奇鋐(3017.TW),5423000,4.69,3017.TW
緯穎(6669.TW),2417000,4.5,6669.TW
聯電(2303.TW),86550000,4.34,2303.TW
南電(8046.TW),9519000,4.22,8046.TW
台達電(2308.TW),5567000,3.8,2308.TW
日月光投控(3711.TW),16135000,3.8,3711.TW
貿聯-KY(3665.TW),4833848,3.6,3665.TW
金像電(2368.TW),8315000,3.04,2368.TW
健策(3653.TW),2267000,2.97,3653.TW
台燿(6274.TW),5160000,2.37,6274.TW
信驊(5274.TW),448900,2.36,5274.TW
富世達(6805.TW),1881000,0.99,6805.TW
勤誠(8210.TW),2267000,0.98,8210.TW
京元電子(2449.TW),6197000,0.64,2449.TW
萬潤(6187.TW),1334000,0.5,6187.TW
頎邦(6147.TW),5752000,0.37,6147.TW
精測(6510.TW),349000,0.34,6510.TW
穎崴(6515.TW),130000,0.32,6515.TW
高技(5439.TW),2940000,0.28,5439.TW
台表科(6278.TW),4334000,0.27,6278.TW
亞德客-KY(1590.TW),528000,0.27,1590.TW
同欣電(6271.TW),2966000,0.22,6271.TW
精成科(6191.TW),3988000,0.13,6191.TW
欣銓(3264.TW),1508000,0.12,3264.TW
新日興(3376.TW),1741000,0.12,3376.TW
中鋼(2002.TW),5163000,0.04,2002.TW
譜瑞-KY(4966.TW),140000,0.03,4966.TW
