個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),9.44,11657000,2330.TW,2.44,55.0
台光電(2383.TW),9.12,4723000,2383.TW,9.99,500.0
聯發科(2454.TW),6.35,4263000,2454.TW,9.97,385.0
智邦(2345.TW),5.55,6231000,2345.TW,2.83,70.0
台達電(2308.TW),5.28,6572000,2308.TW,9.31,195.0
旺矽(6223.TW),4.72,2169000,6223.TW,2.73,165.0
緯穎(6669.TW),4.61,2344000,6669.TW,1.54,85.0
奇鋐(3017.TW),4.55,5041000,3017.TW,1.18,30.0
國巨*(2327.TW),4.44,18313000,2327.TW,9.86,62.0
貿聯-KY(3665.TW),3.93,4703848,3665.TW,7.19,160.0
金像電(2368.TW),3.83,7669000,2368.TW,7.14,95.0
欣興(3037.TW),3.76,10822000,3037.TW,2.06,20.0
南電(8046.TW),3.53,11398000,8046.TW,-5.35,-50.0
日月光投控(3711.TW),3.25,14998000,3711.TW,9.98,56.0
健策(3653.TW),3.0,2267000,3653.TW,3.01,110.0
聯電(2303.TW),2.9,66190000,2303.TW,9.65,11.0
信驊(5274.TW),2.62,422000,5274.TW,-0.31,-55.0
台燿(6274.TW),2.33,4151000,6274.TW,9.97,145.0
京元電子(2449.TW),1.44,12919000,2449.TW,7.09,21.0
穎崴(6515.TW),1.37,442000,6515.TW,1.72,150.0
精測(6510.TW),1.13,930000,6510.TW,1.47,50.0
富世達(6805.TW),1.08,1761000,6805.TW,-2.79,-50.0
勤誠(8210.TW),0.99,1967000,8210.TW,6.69,90.0
漢唐(2404.TW),0.75,1715000,2404.TW,7.79,90.0
嘉澤(3533.TW),0.7,772000,3533.TW,1.17,30.0
萬潤(6187.TW),0.52,1224000,6187.TW,6.14,70.0
欣銓(3264.TW),0.49,6217000,3264.TW,1.13,2.5
高技(5439.TW),0.48,3528000,5439.TW,-0.65,-2.5
大立光(3008.TW),0.44,329000,3008.TW,8.62,305.0
華通(2313.TW),0.43,4124000,2313.TW,7.37,20.5
高力(8996.TW),0.41,1034000,8996.TW,-2.99,-35.0
金居(8358.TW),0.38,1980000,8358.TW,4.41,23.0
南茂(8150.TW),0.35,11334000,8150.TW,9.73,7.7
台表科(6278.TW),0.31,3734000,6278.TW,-2.86,-7.0
譜瑞-KY(4966.TW),0.3,1036000,4966.TW,2.89,23.0
頎邦(6147.TW),0.27,3201000,6147.TW,9.98,21.5
亞德客-KY(1590.TW),0.27,530000,1590.TW,2.84,40.0
矽力*-KY(6415.TW),0.23,1038000,6415.TW,9.96,56.0
創意(3443.TW),0.18,96000,3443.TW,3.31,170.0
精成科(6191.TW),0.14,3988000,6191.TW,1.24,1.2
新日興(3376.TW),0.13,1741000,3376.TW,5.0,10.5
強茂(2481.TW),0.1,2056000,2481.TW,0.37,0.5
華碩(2357.TW),0.07,273000,2357.TW,3.96,27.0
同欣電(6271.TW),0.06,686000,6271.TW,7.51,17.0
中鋼(2002.TW),0.04,5163000,2002.TW,9.92,1.8
優群(3217.TW),0.03,382000,3217.TW,-3.38,-7.0
東陽(1319.TW),0.01,511000,1319.TW,-0.98,-0.8
富喬(1815.TW),0.0,107000,1815.TW,1.87,2.0
鴻海(2317.TW),0.0,1000,2317.TW,4.4,11.0
美律(2439.TW),0.0,18000,2439.TW,-0.11,-0.1
世芯-KY(3661.TW),0.0,1000,3661.TW,0.1,5.0
世界(5347.TW),0.0,1000,5347.TW,4.01,6.5
