個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價,Volume
台積電(2330.TW),7.96,645000,2330.TW,0.0,0.0,0
台達電(2308.TW),6.42,475000,2308.TW,0.0,0.0,0
聯發科(2454.TW),4.68,188000,2454.TW,0.0,0.0,0
台光電(2383.TW),3.81,134000,2383.TW,0.0,0.0,0
致茂(2360.TW),3.49,248000,2360.TW,0.0,0.0,0
欣興(3037.TW),3.26,562000,3037.TW,0.0,0.0,0
智邦(2345.TW),3.19,227000,2345.TW,0.0,0.0,0
鴻勁(7769.TW),3.1,74000,7769.TW,0.0,0.0,0
華邦電(2344.TW),3.01,3621000,2344.TW,0.0,0.0,0
金像電(2368.TW),2.9,393000,2368.TW,0.0,0.0,0
南亞科(2408.TW),2.76,1646000,2408.TW,0.0,0.0,0
群聯(8299.TW),2.73,205000,8299.TW,0.0,0.0,0
奇鋐(3017.TW),2.67,184000,3017.TW,0.0,0.0,0
信驊(5274.TW),2.45,25000,5274.TW,0.0,0.0,0
旺矽(6223.TW),2.43,71000,6223.TW,0.0,0.0,0
台燿(6274.TW),2.41,275000,6274.TW,0.0,0.0,0
川湖(2059.TW),2.16,82000,2059.TW,0.0,0.0,0
鴻海(2317.TW),2.13,1506000,2317.TW,0.0,0.0,0
日月光投控(3711.TW),2.01,584000,3711.TW,0.0,0.0,0
聯亞(3081.TW),1.97,127000,3081.TW,0.0,0.0,0
穎崴(6515.TW),1.94,37000,6515.TW,0.0,0.0,0
創意(3443.TW),1.92,70000,3443.TW,0.0,0.0,0
緯穎(6669.TW),1.85,68000,6669.TW,0.0,0.0,0
勤誠(8210.TW),1.77,236000,8210.TW,0.0,0.0,0
文曄(3036.TW),1.69,1067000,3036.TW,0.0,0.0,0
廣達(2382.TW),1.5,899000,2382.TW,0.0,0.0,0
富世達(6805.TW),1.5,161000,6805.TW,0.0,0.0,0
高力(8996.TW),1.44,221000,8996.TW,0.0,0.0,0
景碩(3189.TW),1.15,305000,3189.TW,0.0,0.0,0
技嘉(2376.TW),1.03,577000,2376.TW,0.0,0.0,0
邁科(6831.TW),0.99,224000,6831.TW,0.0,0.0,0
緯創(3231.TW),0.96,1228000,3231.TW,0.0,0.0,0
寶雅(5904.TW),0.93,312450,5904.TW,0.0,0.0,0
中信金(2891.TW),0.9,2849000,2891.TW,0.0,0.0,0
鈊象(3293.TW),0.89,220000,3293.TW,0.0,0.0,0
健鼎(3044.TW),0.78,276000,3044.TW,0.0,0.0,0
光聖(6442.TW),0.78,71000,6442.TW,0.0,0.0,0
健策(3653.TW),0.75,38000,3653.TW,0.0,0.0,0
玉山金(2884.TW),0.65,3867622,2884.TW,0.0,0.0,0
貿聯-KY(3665.TW),0.61,53336,3665.TW,0.0,0.0,0
南俊國際(6584.TW),0.56,153000,6584.TW,0.0,0.0,0
華固(2548.TW),0.33,512000,2548.TW,0.0,0.0,0
欣銓(3264.TW),0.21,172000,3264.TW,0.0,0.0,0
嘉澤(3533.TW),0.18,13000,3533.TW,0.0,0.0,0
致伸(4915.TW),0.12,298000,4915.TW,0.0,0.0,0
