個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1967000,9.22,2330.TW
聖暉*(5536.TW),3716000,8.76,5536.TW
聯發科(2454.TW),857000,6.53,2454.TW
亞翔(6139.TW),3067000,5.21,6139.TW
旺矽(6223.TW),307000,4.22,6223.TW
智邦(2345.TW),794000,3.8,2345.TW
臻鼎-KY(4958.TW),3147000,3.59,4958.TW
台光電(2383.TW),326000,3.35,2383.TW
穩懋(3105.TW),4143000,3.26,3105.TW
環球晶(6488.TW),1134000,2.97,6488.TW
川湖(2059.TW),183000,2.93,2059.TW
致茂(2360.TW),823000,2.91,2360.TW
緯穎(6669.TW),297000,2.9,6669.TW
聯電(2303.TW),8921000,2.7,2303.TW
昇達科(3491.TW),967000,2.38,3491.TW
矽格(6257.TW),4627000,2.19,6257.TW
欣銓(3264.TW),4628000,2.11,3264.TW
奇鋐(3017.TW),407000,1.86,3017.TW
辛耘(3583.TW),1105000,1.75,3583.TW
立隆電(2472.TW),2342000,1.71,2472.TW
微星(2377.TW),5638000,1.59,2377.TW
志聖(2467.TW),1439000,1.55,2467.TW
矽創(8016.TW),2185000,1.54,8016.TW
大立光(3008.TW),199000,1.53,3008.TW
光洋科(1785.TW),5455000,1.51,1785.TW
國巨*(2327.TW),844000,1.47,2327.TW
楠梓電(2316.TW),3375000,1.36,2316.TW
台燿(6274.TW),436000,1.33,6274.TW
日月光投控(3711.TW),996000,1.31,3711.TW
愛普*(6531.TW),694000,1.24,6531.TW
鴻勁(7769.TW),91000,1.18,7769.TW
大聯大(3702.TW),5340000,1.1,3702.TW
頎邦(6147.TW),2300000,0.97,6147.TW
文曄(3036.TW),2269000,0.93,3036.TW
高力(8996.TW),376000,0.9,8996.TW
台表科(6278.TW),2167000,0.84,6278.TW
金像電(2368.TW),386000,0.81,2368.TW
技嘉(2376.TW),1056000,0.69,2376.TW
力成(6239.TW),700000,0.43,6239.TW
順德(2351.TW),900000,0.35,2351.TW
元大金(2885.TW),2114420,0.28,2885.TW
信驊(5274.TW),9900,0.26,5274.TW
創見(2451.TW),519000,0.26,2451.TW
萬潤(6187.TW),91000,0.19,6187.TW
新日興(3376.TW),359000,0.14,3376.TW
達麗(6177.TW),194350,0.02,6177.TW
創意(3443.TW),1000,0.01,3443.TW
兆豐金(2886.TW),1000,0.0,2886.TW
振大環球(4441.TW),4000,0.0,4441.TW
神達(3706.TW),1400,0.0,3706.TW
富邦金(2881.TW),250,0.0,2881.TW
華城(1519.TW),600,0.0,1519.TW
南電(8046.TW),1000,0.0,8046.TW
金居(8358.TW),1000,0.0,8358.TW
