個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),179000,9.73,2330.TW
聯發科(2454.TW),81000,7.33,2454.TW
台光電(2383.TW),51000,6.16,2383.TW
臻鼎-KY(4958.TW),562000,6.04,4958.TW
國巨*(2327.TW),450000,5.89,2327.TW
台達電(2308.TW),115000,4.77,2308.TW
華邦電(2344.TW),895000,3.67,2344.TW
立隆電(2472.TW),633000,3.48,2472.TW
南亞科(2408.TW),296000,3.4,2408.TW
南電(8046.TW),114000,2.94,8046.TW
邁科(6831.TW),203000,2.87,6831.TW
欣興(3037.TW),121000,2.74,3037.TW
旺矽(6223.TW),19000,2.7,6223.TW
創意(3443.TW),26000,2.69,3443.TW
力成(6239.TW),331000,2.18,6239.TW
台表科(6278.TW),548000,2.15,6278.TW
愛普*(6531.TW),94000,1.98,6531.TW
健策(3653.TW),20000,1.89,3653.TW
矽力*-KY(6415.TW),156000,1.66,6415.TW
景碩(3189.TW),84000,1.6,3189.TW
世芯-KY(3661.TW),18000,1.56,3661.TW
晶技(3042.TW),371000,1.53,3042.TW
力積電(6770.TW),958000,1.48,6770.TW
南亞(1303.TW),341000,1.44,1303.TW
尖點(8021.TW),144000,1.43,8021.TW
智邦(2345.TW),27000,1.34,2345.TW
上詮(3363.TW),90000,1.32,3363.TW
致茂(2360.TW),25000,1.16,2360.TW
勤誠(8210.TW),45000,1.11,8210.TW
營邦(3693.TW),94000,1.08,3693.TW
日月光投控(3711.TW),66000,0.95,3711.TW
台燿(6274.TW),24000,0.8,6274.TW
祥碩(5269.TW),22000,0.7,5269.TW
奇鋐(3017.TW),11000,0.7,3017.TW
弘塑(3131.TW),11000,0.62,3131.TW
高力(8996.TW),15000,0.37,8996.TW
台灣精銳(4583.TW),30000,0.34,4583.TW
合晶(6182.TW),157000,0.33,6182.TW
志聖(2467.TW),25000,0.31,2467.TW
金像電(2368.TW),14000,0.3,2368.TW
達發(6526.TW),12000,0.17,6526.TW
貿聯-KY(3665.TW),3000,0.15,3665.TW
台玻(1802.TW),90000,0.11,1802.TW
嘉澤(3533.TW),2000,0.09,3533.TW
新應材(4749.TW),5086,0.09,4749.TW
聯茂(6213.TW),6000,0.06,6213.TW
富邦金(2881.TW),20000,0.06,2881.TW
國泰金(2882.TW),25000,0.06,2882.TW
鴻海(2317.TW),9000,0.05,2317.TW
廣達(2382.TW),6000,0.04,2382.TW
京元電子(2449.TW),6300,0.04,2449.TW
