個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),958000,8.54,2330.TW
聯發科(2454.TW),440000,6.3,2454.TW
台光電(2383.TW),291000,5.54,2383.TW
致茂(2360.TW),665000,5.25,2360.TW
欣興(3037.TW),1250000,4.21,3037.TW
緯穎(6669.TW),203000,4.15,6669.TW
環球晶(6488.TW),853000,3.93,6488.TW
奇鋐(3017.TW),457000,3.85,3017.TW
旺矽(6223.TW),171000,3.81,6223.TW
川湖(2059.TW),113000,3.41,2059.TW
台達電(2308.TW),446000,3.12,2308.TW
創意(3443.TW),190000,3.09,3443.TW
信驊(5274.TW),52400,3.02,5274.TW
貿聯-KY(3665.TW),354000,2.78,3665.TW
萬潤(6187.TW),596000,2.34,6187.TW
南亞科(2408.TW),1218000,2.02,2408.TW
智邦(2345.TW),227000,1.93,2345.TW
健鼎(3044.TW),1034000,1.6,3044.TW
國巨*(2327.TW),581000,1.52,2327.TW
日月光投控(3711.TW),608000,1.48,3711.TW
華碩(2357.TW),481000,1.35,2357.TW
精測(6510.TW),132000,1.33,6510.TW
南電(8046.TW),260000,1.26,8046.TW
技嘉(2376.TW),919000,1.19,2376.TW
臻鼎-KY(4958.TW),542000,1.13,4958.TW
文曄(3036.TW),1497000,1.1,3036.TW
聯電(2303.TW),2006000,1.04,2303.TW
亞德客-KY(1590.TW),193000,1.03,1590.TW
台塑化(6505.TW),2995000,0.95,6505.TW
元大金(2885.TW),4012000,0.94,2885.TW
大立光(3008.TW),61000,0.91,3008.TW
鴻海(2317.TW),960000,0.9,2317.TW
頎邦(6147.TW),1234000,0.87,6147.TW
世界(5347.TW),1351000,0.86,5347.TW
華通(2313.TW),1107336,0.86,2313.TW
緯創(3231.TW),1401000,0.85,3231.TW
健策(3653.TW),63000,0.82,3653.TW
廣達(2382.TW),664000,0.81,2382.TW
順達(3211.TW),549000,0.8,3211.TW
漢唐(2404.TW),126000,0.55,2404.TW
南亞(1303.TW),615000,0.48,1303.TW
精材(3374.TW),271000,0.42,3374.TW
崇越(5434.TW),200000,0.42,5434.TW
光聖(6442.TW),77000,0.4,6442.TW
日電貿(3090.TW),592000,0.4,3090.TW
富邦金(2881.TW),817000,0.39,2881.TW
鈊象(3293.TW),133000,0.35,3293.TW
鴻勁(7769.TW),13000,0.31,7769.TW
新普(6121.TW),178000,0.25,6121.TW
嘉基(6715.TW),140000,0.2,6715.TW
大量(3167.TW),61000,0.16,3167.TW
群光(2385.TW),338000,0.13,2385.TW
南茂(8150.TW),236000,0.09,8150.TW
宏全(9939.TW),180000,0.09,9939.TW
亞翔(6139.TW),12000,0.04,6139.TW
力成(6239.TW),25000,0.03,6239.TW
