個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1794000,8.53,2330.TW
聯發科(2454.TW),872000,6.77,2454.TW
緯穎(6669.TW),510000,6.52,6669.TW
亞翔(6139.TW),4025000,6.29,6139.TW
川湖(2059.TW),185000,5.31,2059.TW
聖暉*(5536.TW),2848000,5.06,5536.TW
台光電(2383.TW),327000,4.05,2383.TW
致茂(2360.TW),837000,3.85,2360.TW
智邦(2345.TW),817000,3.63,2345.TW
穩懋(3105.TW),4809000,3.6,3105.TW
旺矽(6223.TW),307000,3.23,6223.TW
臻鼎-KY(4958.TW),3178000,3.01,4958.TW
大立光(3008.TW),248000,2.62,3008.TW
奇鋐(3017.TW),412000,2.5,3017.TW
昇達科(3491.TW),1000000,2.5,3491.TW
愛普*(6531.TW),1440000,2.48,6531.TW
環球晶(6488.TW),1134000,2.4,6488.TW
聯電(2303.TW),9109000,2.17,2303.TW
欣銓(3264.TW),4780000,2.01,3264.TW
志聖(2467.TW),1505000,1.7,2467.TW
微星(2377.TW),5678000,1.68,2377.TW
辛耘(3583.TW),1158000,1.62,3583.TW
台燿(6274.TW),450000,1.39,6274.TW
矽格(6257.TW),3230000,1.29,6257.TW
日月光投控(3711.TW),1016000,1.22,3711.TW
信驊(5274.TW),33900,1.15,5274.TW
高力(8996.TW),382000,0.9,8996.TW
矽創(8016.TW),1521000,0.87,8016.TW
鴻勁(7769.TW),62000,0.81,7769.TW
大聯大(3702.TW),3804000,0.81,3702.TW
楠梓電(2316.TW),2326000,0.74,2316.TW
技嘉(2376.TW),944000,0.66,2376.TW
文曄(3036.TW),1611000,0.65,3036.TW
光洋科(1785.TW),2937000,0.59,1785.TW
台表科(6278.TW),1648000,0.57,6278.TW
順德(2351.TW),1552000,0.55,2351.TW
國巨*(2327.TW),466000,0.54,2327.TW
光寶科(2301.TW),879000,0.48,2301.TW
研華(2395.TW),344000,0.47,2395.TW
立隆電(2472.TW),1020000,0.47,2472.TW
緯創(3231.TW),1299000,0.47,3231.TW
台星科(3265.TW),1358000,0.46,3265.TW
全新(2455.TW),555000,0.46,2455.TW
精誠(6214.TW),1319000,0.46,6214.TW
中美晶(5483.TW),1242000,0.46,5483.TW
力旺(3529.TW),93000,0.43,3529.TW
邁科(6831.TW),300000,0.39,6831.TW
力成(6239.TW),710000,0.38,6239.TW
元大金(2885.TW),2213556,0.28,2885.TW
長華*(8070.TW),2075000,0.23,8070.TW
創見(2451.TW),349000,0.2,2451.TW
聯茂(6213.TW),119000,0.12,6213.TW
台半(5425.TW),639000,0.12,5425.TW
藥華藥(6446.TW),42000,0.12,6446.TW
騰輝電子-KY(6672.TW),203000,0.12,6672.TW
碩天(3617.TW),221000,0.11,3617.TW
帆宣(6196.TW),113000,0.11,6196.TW
鉅祥(2476.TW),481000,0.11,2476.TW
大毅(2478.TW),460000,0.11,2478.TW
日電貿(3090.TW),346000,0.11,3090.TW
興勤(2428.TW),226000,0.11,2428.TW
達麗(6177.TW),194350,0.02,6177.TW
創意(3443.TW),1000,0.01,3443.TW
兆豐金(2886.TW),1000,0.0,2886.TW
富邦金(2881.TW),250,0.0,2881.TW
金像電(2368.TW),1000,0.0,2368.TW
華城(1519.TW),660,0.0,1519.TW
神達(3706.TW),1400,0.0,3706.TW
振大環球(4441.TW),4000,0.0,4441.TW
金居(8358.TW),1000,0.0,8358.TW
南電(8046.TW),1000,0.0,8046.TW
