個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),7.49,1761000,2330.TW,2.44,55.0
台光電(2383.TW),5.43,536000,2383.TW,9.99,500.0
欣興(3037.TW),5.29,2902000,3037.TW,2.06,20.0
緯穎(6669.TW),4.8,465000,6669.TW,1.54,85.0
智邦(2345.TW),4.73,1012000,2345.TW,2.83,70.0
旺矽(6223.TW),3.87,339000,6223.TW,2.73,165.0
世芯-KY(3661.TW),3.55,393000,3661.TW,0.1,5.0
高力(8996.TW),3.53,1689000,8996.TW,-2.99,-35.0
創意(3443.TW),3.52,360000,3443.TW,3.31,170.0
穩懋(3105.TW),3.43,3433000,3105.TW,2.26,12.0
川湖(2059.TW),3.28,358000,2059.TW,-2.16,-110.0
貿聯-KY(3665.TW),2.93,667000,3665.TW,7.19,160.0
南電(8046.TW),2.7,1658000,8046.TW,-5.35,-50.0
精測(6510.TW),2.69,422000,6510.TW,1.47,50.0
全新(2455.TW),2.56,3127000,2455.TW,4.47,19.0
穎崴(6515.TW),2.46,151000,6515.TW,1.72,150.0
奇鋐(3017.TW),2.38,501000,3017.TW,1.18,30.0
群聯(8299.TW),2.23,489000,8299.TW,2.06,50.0
聯發科(2454.TW),2.13,272000,2454.TW,9.97,385.0
波若威(3163.TW),2.06,923000,3163.TW,5.68,65.0
聯亞(3081.TW),2.05,380000,3081.TW,7.93,215.0
國巨*(2327.TW),2.04,1600000,2327.TW,9.86,62.0
嘉澤(3533.TW),2.0,420000,3533.TW,1.17,30.0
鴻勁(7769.TW),1.89,134000,7769.TW,-1.1,-85.0
台燿(6274.TW),1.87,636000,6274.TW,9.97,145.0
南俊國際(6584.TW),1.82,1437000,6584.TW,0.88,6.0
金像電(2368.TW),1.76,669000,2368.TW,7.14,95.0
台達電(2308.TW),1.51,357000,2308.TW,9.31,195.0
健策(3653.TW),1.37,197000,3653.TW,3.01,110.0
竑騰(7751.TW),1.29,387000,7751.TW,-0.28,-5.0
信驊(5274.TW),0.98,30000,5274.TW,-0.31,-55.0
致茂(2360.TW),0.94,207000,2360.TW,8.37,190.0
光聖(6442.TW),0.9,238000,6442.TW,9.87,185.0
環宇-KY(4991.TW),0.89,574000,4991.TW,3.19,26.0
文曄(3036.TW),0.65,1177000,3036.TW,4.33,12.5
景碩(3189.TW),0.6,486013,3189.TW,9.85,60.0
愛普*(6531.TW),0.53,273000,6531.TW,9.55,92.0
宜鼎(5289.TW),0.49,157000,5289.TW,-2.32,-40.0
尖點(8021.TW),0.44,518000,8021.TW,9.95,42.0
志聖(2467.TW),0.42,347000,2467.TW,9.95,60.0
旺宏(2337.TW),0.41,1465000,2337.TW,2.01,3.0
亞翔(6139.TW),0.38,259000,6139.TW,4.94,38.0
印能科技(7734.TW),0.38,59000,7734.TW,2.51,85.0
昇達科(3491.TW),0.37,97000,3491.TW,8.29,160.0
日月光投控(3711.TW),0.36,320000,3711.TW,9.98,56.0
富世達(6805.TW),0.36,112000,6805.TW,-2.79,-50.0
威剛(3260.TW),0.29,393000,3260.TW,-2.4,-10.0
辛耘(3583.TW),0.06,33000,3583.TW,4.69,41.0
