個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),7.33,1761000,2330.TW,-1.73,-40.0
欣興(3037.TW),5.78,2902000,3037.TW,9.6,95.0
台光電(2383.TW),5.2,536000,2383.TW,-3.91,-215.0
智邦(2345.TW),4.86,1012000,2345.TW,3.15,80.0
緯穎(6669.TW),4.5,465000,6669.TW,-5.88,-330.0
旺矽(6223.TW),3.88,339000,6223.TW,0.65,40.0
高力(8996.TW),3.86,1689000,8996.TW,9.69,110.0
穩懋(3105.TW),3.54,3433000,3105.TW,3.5,19.0
創意(3443.TW),3.49,360000,3443.TW,-0.47,-25.0
世芯-KY(3661.TW),3.34,393000,3661.TW,-5.31,-260.0
川湖(2059.TW),3.31,358000,2059.TW,1.1,55.0
南電(8046.TW),2.8,1658000,8046.TW,4.3,38.0
貿聯-KY(3665.TW),2.77,667000,3665.TW,-5.03,-120.0
精測(6510.TW),2.64,422000,6510.TW,-1.16,-40.0
奇鋐(3017.TW),2.5,501000,3017.TW,5.83,150.0
穎崴(6515.TW),2.47,151000,6515.TW,0.62,55.0
全新(2455.TW),2.43,3127000,2455.TW,-4.62,-20.5
群聯(8299.TW),2.25,489000,8299.TW,1.01,25.0
聯亞(3081.TW),2.2,380000,3081.TW,8.03,235.0
聯發科(2454.TW),2.13,272000,2454.TW,0.47,20.0
波若威(3163.TW),2.07,923000,3163.TW,0.83,10.0
嘉澤(3533.TW),2.03,420000,3533.TW,2.13,55.0
國巨*(2327.TW),1.94,1600000,2327.TW,-4.34,-30.0
鴻勁(7769.TW),1.94,134000,7769.TW,3.34,255.0
台燿(6274.TW),1.84,636000,6274.TW,-1.25,-20.0
南俊國際(6584.TW),1.82,1437000,6584.TW,0.44,3.0
金像電(2368.TW),1.77,669000,2368.TW,1.4,20.0
台達電(2308.TW),1.54,357000,2308.TW,2.62,60.0
健策(3653.TW),1.33,197000,3653.TW,-2.65,-100.0
竑騰(7751.TW),1.25,387000,7751.TW,-2.76,-50.0
光聖(6442.TW),0.99,238000,6442.TW,9.95,205.0
信驊(5274.TW),0.95,30000,5274.TW,-2.74,-485.0
致茂(2360.TW),0.95,207000,2360.TW,1.63,40.0
環宇-KY(4991.TW),0.92,574000,4991.TW,3.57,30.0
文曄(3036.TW),0.63,1177000,3036.TW,-2.65,-8.0
景碩(3189.TW),0.62,486013,3189.TW,4.04,27.0
愛普*(6531.TW),0.54,273000,6531.TW,2.37,25.0
宜鼎(5289.TW),0.49,157000,5289.TW,0.3,5.0
尖點(8021.TW),0.44,518000,8021.TW,0.11,0.5
志聖(2467.TW),0.43,347000,2467.TW,0.75,5.0
旺宏(2337.TW),0.43,1465000,2337.TW,5.25,8.0
亞翔(6139.TW),0.39,259000,6139.TW,2.35,19.0
印能科技(7734.TW),0.39,59000,7734.TW,4.03,140.0
富世達(6805.TW),0.37,112000,6805.TW,2.29,40.0
昇達科(3491.TW),0.37,97000,3491.TW,-0.72,-15.0
日月光投控(3711.TW),0.36,320000,3711.TW,-0.97,-6.0
威剛(3260.TW),0.3,393000,3260.TW,0.61,2.5
辛耘(3583.TW),0.05,33000,3583.TW,-0.87,-8.0
