個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),484000,7.92,2330.TW
台達電(2308.TW),292000,4.0,2308.TW
台光電(2383.TW),99000,3.77,2383.TW
華碩(2357.TW),590000,3.11,2357.TW
鴻勁(7769.TW),58000,2.68,7769.TW
長榮航(2618.TW),8019000,2.41,2618.TW
金像電(2368.TW),280000,2.4,2368.TW
南亞科(2408.TW),789000,2.39,2408.TW
川湖(2059.TW),43000,2.21,2059.TW
穎崴(6515.TW),33000,2.15,6515.TW
健策(3653.TW),85000,2.12,3653.TW
奇鋐(3017.TW),119000,2.06,3017.TW
致茂(2360.TW),135000,2.0,2360.TW
聯發科(2454.TW),68000,1.99,2454.TW
東陽(1319.TW),3570000,1.94,1319.TW
富邦媒(8454.TW),816000,1.94,8454.TW
旺矽(6223.TW),39000,1.92,6223.TW
勤誠(8210.TW),191000,1.73,8210.TW
致伸(4915.TW),3320000,1.69,4915.TW
智邦(2345.TW),103000,1.67,2345.TW
信驊(5274.TW),13000,1.63,5274.TW
日月光投控(3711.TW),362000,1.62,3711.TW
鴻海(2317.TW),860000,1.51,2317.TW
台燿(6274.TW),122000,1.47,6274.TW
聯亞(3081.TW),98000,1.45,3081.TW
群聯(8299.TW),80000,1.37,8299.TW
貿聯-KY(3665.TW),97000,1.33,3665.TW
廣達(2382.TW),518500,1.32,2382.TW
日電貿(3090.TW),618000,1.28,3090.TW
緯穎(6669.TW),40000,1.26,6669.TW
新普(6121.TW),433000,1.23,6121.TW
裕融(9941.TW),2133000,1.18,9941.TW
瑞鼎(3592.TW),617000,1.18,3592.TW
億光(2393.TW),2419000,1.15,2393.TW
長虹(5534.TW),2069000,1.12,5534.TW
富世達(6805.TW),89000,1.1,6805.TW
王品(2727.TW),647000,1.09,2727.TW
聯強(2347.TW),1668000,1.05,2347.TW
至上(8112.TW),1591000,1.04,8112.TW
復盛應用(6670.TW),624000,1.04,6670.TW
百和(9938.TW),3414000,1.03,9938.TW
中華(2204.TW),2641000,1.01,2204.TW
創見(2451.TW),457000,0.92,2451.TW
台灣大(3045.TW),1117000,0.91,3045.TW
遠傳(4904.TW),1226000,0.9,4904.TW
統一實(9907.TW),8575000,0.88,9907.TW
志強-KY(6768.TW),1471000,0.86,6768.TW
台耀(4746.TW),2276000,0.82,4746.TW
原相(3227.TW),460000,0.72,3227.TW
鈊象(3293.TW),130000,0.67,3293.TW
鈺齊-KY(9802.TW),1285000,0.66,9802.TW
宏全(9939.TW),736000,0.65,9939.TW
玉山金(2884.TW),2561000,0.61,2884.TW
兆豐金(2886.TW),1898000,0.58,2886.TW
第一金(2892.TW),2594000,0.57,2892.TW
華邦電(2344.TW),370000,0.52,2344.TW
神達(3706.TW),848000,0.5,3706.TW
世紀鋼(9958.TW),626000,0.49,9958.TW
視陽(6782.TW),308000,0.41,6782.TW
寶雅(5904.TW),87000,0.39,5904.TW
潤泰新(9945.TW),2013000,0.37,9945.TW
聚陽(1477.TW),250000,0.37,1477.TW
豐泰(9910.TW),698000,0.34,9910.TW
群光(2385.TW),449000,0.33,2385.TW
凡甲(3526.TW),131000,0.28,3526.TW
大聯大(3702.TW),386000,0.28,3702.TW
茂達(6138.TW),97000,0.24,6138.TW
華固(2548.TW),222000,0.15,2548.TW
雄獅(2731.TW),131000,0.14,2731.TW
東洋(4105.TW),279000,0.14,4105.TW
耕興(6146.TW),51000,0.07,6146.TW
