個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),138000,11.09,2330.TW
聯發科(2454.TW),53600,7.11,2454.TW
台達電(2308.TW),68000,3.64,2308.TW
智邦(2345.TW),36053,2.86,2345.TW
鴻勁(7769.TW),13000,2.83,7769.TW
緯穎(6669.TW),13000,2.61,6669.TW
旺矽(6223.TW),12074,2.38,6223.TW
日月光投控(3711.TW),114000,2.36,3711.TW
欣興(3037.TW),78000,2.29,3037.TW
玉山金(2884.TW),1607000,2.1,2884.TW
大立光(3008.TW),15000,2.01,3008.TW
台光電(2383.TW),11686,1.97,2383.TW
廣達(2382.TW),193000,1.94,2382.TW
致茂(2360.TW),29000,1.93,2360.TW
臻鼎-KY(4958.TW),135000,1.93,4958.TW
富邦金(2881.TW),433000,1.9,2881.TW
中信金(2891.TW),838000,1.84,2891.TW
創新服務(7828.TW),36000,1.79,7828.TW
兆豐金(2886.TW),1008000,1.76,2886.TW
啟碁(6285.TW),213000,1.73,6285.TW
凱基金(2883.TW),1636000,1.69,2883.TW
昇達科(3491.TW),44000,1.59,3491.TW
世界(5347.TW),303000,1.55,5347.TW
華碩(2357.TW),56000,1.52,2357.TW
億豐(8464.TW),103000,1.31,8464.TW
瑞昱(2379.TW),54000,1.29,2379.TW
全新(2455.TW),118000,1.28,2455.TW
國泰金(2882.TW),360000,1.23,2882.TW
健策(3653.TW),9653,1.23,3653.TW
穎崴(6515.TW),5512,1.17,6515.TW
台新新光金(2887.TW),969160,1.16,2887.TW
長榮(2603.TW),163000,1.15,2603.TW
信驊(5274.TW),2131,1.15,5274.TW
華邦電(2344.TW),233000,1.13,2344.TW
愛普*(6531.TW),45000,1.12,6531.TW
華通(2313.TW),166356,1.05,2313.TW
中華電(2412.TW),211000,0.99,2412.TW
元大金(2885.TW),425000,0.98,2885.TW
聯電(2303.TW),246000,0.98,2303.TW
遠傳(4904.TW),267000,0.94,4904.TW
鴻海(2317.TW),86000,0.74,2317.TW
精測(6510.TW),7747,0.7,6510.TW
萬潤(6187.TW),20305,0.69,6187.TW
寶雅(5904.TW),27000,0.66,5904.TW
矽力*-KY(6415.TW),46000,0.66,6415.TW
力旺(3529.TW),8000,0.65,3529.TW
環宇-KY(4991.TW),44000,0.58,4991.TW
兆聯實業(6944.TW),20800,0.51,6944.TW
弘塑(3131.TW),5811,0.48,3131.TW
緯創(3231.TW),69000,0.44,3231.TW
大量(3167.TW),23000,0.42,3167.TW
健鼎(3044.TW),33000,0.42,3044.TW
和碩(4938.TW),124000,0.36,4938.TW
金像電(2368.TW),12000,0.35,2368.TW
永豐金(2890.TW),250920,0.34,2890.TW
統一(1216.TW),135000,0.33,1216.TW
統一超(2912.TW),43000,0.32,2912.TW
聯詠(3034.TW),15000,0.26,3034.TW
尖點(8021.TW),22000,0.26,8021.TW
中租-KY(5871.TW),46920,0.18,5871.TW
台塑(1301.TW),43000,0.08,1301.TW
萬海(2615.TW),23000,0.07,2615.TW
京元電子(2449.TW),7250,0.06,2449.TW
