個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),110000,8.66,2330.TW
聯發科(2454.TW),57600,7.3,2454.TW
台達電(2308.TW),68000,4.18,2308.TW
鴻勁(7769.TW),13000,2.75,7769.TW
智邦(2345.TW),36053,2.74,2345.TW
日月光投控(3711.TW),123000,2.61,3711.TW
緯穎(6669.TW),14000,2.51,6669.TW
旺矽(6223.TW),12074,2.47,6223.TW
臻鼎-KY(4958.TW),135000,2.24,4958.TW
廣達(2382.TW),193000,2.12,2382.TW
凱基金(2883.TW),2081000,2.1,2883.TW
啟碁(6285.TW),248000,2.1,6285.TW
致茂(2360.TW),29000,2.05,2360.TW
創新服務(7828.TW),33000,2.04,7828.TW
瑞昱(2379.TW),83000,2.02,2379.TW
台光電(2383.TW),11686,1.95,2383.TW
中信金(2891.TW),925000,1.92,2891.TW
大立光(3008.TW),14000,1.9,3008.TW
玉山金(2884.TW),1607000,1.87,2884.TW
富邦金(2881.TW),433000,1.82,2881.TW
世界(5347.TW),303000,1.67,5347.TW
兆豐金(2886.TW),1008000,1.59,2886.TW
華碩(2357.TW),56000,1.41,2357.TW
愛普*(6531.TW),45000,1.33,6531.TW
昇達科(3491.TW),31000,1.32,3491.TW
億豐(8464.TW),103000,1.23,8464.TW
華邦電(2344.TW),233000,1.23,2344.TW
華通(2313.TW),166356,1.17,2313.TW
京元電子(2449.TW),125000,1.17,2449.TW
健策(3653.TW),9653,1.17,3653.TW
國泰金(2882.TW),360000,1.15,2882.TW
元大金(2885.TW),545000,1.13,2885.TW
聯電(2303.TW),246000,1.11,2303.TW
台新新光金(2887.TW),969160,1.09,2887.TW
長榮(2603.TW),163000,1.09,2603.TW
信驊(5274.TW),2131,1.08,5274.TW
中華電(2412.TW),211000,0.95,2412.TW
遠傳(4904.TW),267000,0.9,4904.TW
聯詠(3034.TW),46000,0.76,3034.TW
鴻海(2317.TW),86000,0.72,2317.TW
矽力*-KY(6415.TW),46000,0.71,6415.TW
精測(6510.TW),7747,0.7,6510.TW
欣興(3037.TW),24000,0.7,3037.TW
萬潤(6187.TW),20305,0.68,6187.TW
力旺(3529.TW),8000,0.66,3529.TW
環宇-KY(4991.TW),44000,0.63,4991.TW
穎崴(6515.TW),2905,0.63,6515.TW
弘塑(3131.TW),5811,0.58,3131.TW
寶雅(5904.TW),27000,0.56,5904.TW
兆聯實業(6944.TW),20800,0.56,6944.TW
大量(3167.TW),23000,0.52,3167.TW
全新(2455.TW),44000,0.5,2455.TW
健鼎(3044.TW),33000,0.44,3044.TW
緯創(3231.TW),69000,0.39,3231.TW
金像電(2368.TW),12000,0.37,2368.TW
和碩(4938.TW),124000,0.35,4938.TW
統一(1216.TW),135000,0.34,1216.TW
統一超(2912.TW),43000,0.33,2912.TW
永豐金(2890.TW),250920,0.31,2890.TW
尖點(8021.TW),22000,0.29,8021.TW
神基(3005.TW),59000,0.22,3005.TW
中租-KY(5871.TW),46000,0.18,5871.TW
台塑(1301.TW),43000,0.09,1301.TW
萬海(2615.TW),23000,0.06,2615.TW
