個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),8.11,645000,2330.TW,2.44,55.0
台達電(2308.TW),5.92,475000,2308.TW,9.31,195.0
聯發科(2454.TW),4.35,188000,2454.TW,9.97,385.0
台光電(2383.TW),4.02,134000,2383.TW,9.99,500.0
致茂(2360.TW),3.32,248000,2360.TW,8.37,190.0
智邦(2345.TW),3.14,227000,2345.TW,2.83,70.0
鴻勁(7769.TW),3.08,74000,7769.TW,-1.1,-85.0
金像電(2368.TW),3.05,393000,2368.TW,7.14,95.0
欣興(3037.TW),3.03,562000,3037.TW,2.06,20.0
群聯(8299.TW),2.77,205000,8299.TW,2.06,50.0
南亞科(2408.TW),2.65,1646000,2408.TW,-4.67,-14.5
奇鋐(3017.TW),2.58,184000,3017.TW,1.18,30.0
華邦電(2344.TW),2.53,3621000,2344.TW,2.8,3.5
信驊(5274.TW),2.41,25000,5274.TW,-0.31,-55.0
旺矽(6223.TW),2.4,71000,6223.TW,2.73,165.0
川湖(2059.TW),2.22,82000,2059.TW,-2.16,-110.0
鴻海(2317.TW),2.14,1506000,2317.TW,4.4,11.0
緯穎(6669.TW),2.08,68000,6669.TW,1.54,85.0
創意(3443.TW),2.02,70000,3443.TW,3.31,170.0
聯亞(3081.TW),2.02,127000,3081.TW,7.93,215.0
日月光投控(3711.TW),1.96,584000,3711.TW,9.98,56.0
台燿(6274.TW),1.93,222000,6274.TW,9.97,145.0
勤誠(8210.TW),1.84,236000,8210.TW,6.69,90.0
穎崴(6515.TW),1.78,37000,6515.TW,1.72,150.0
文曄(3036.TW),1.75,1067000,3036.TW,4.33,12.5
廣達(2382.TW),1.55,899000,2382.TW,0.16,0.5
富世達(6805.TW),1.53,161000,6805.TW,-2.79,-50.0
高力(8996.TW),1.37,221000,8996.TW,-2.99,-35.0
景碩(3189.TW),1.11,305000,3189.TW,9.85,60.0
技嘉(2376.TW),1.06,577000,2376.TW,4.34,14.0
緯創(3231.TW),1.0,1228000,3231.TW,3.11,4.5
邁科(6831.TW),0.97,224000,6831.TW,0.76,6.0
鈊象(3293.TW),0.89,220000,3293.TW,-0.94,-7.0
中信金(2891.TW),0.89,2849000,2891.TW,-0.52,-0.3
光聖(6442.TW),0.8,71000,6442.TW,9.87,185.0
寶雅(5904.TW),0.79,258450,5904.TW,-1.58,-9.0
健策(3653.TW),0.78,38000,3653.TW,3.01,110.0
健鼎(3044.TW),0.74,276000,3044.TW,0.71,3.5
貿聯-KY(3665.TW),0.69,53336,3665.TW,7.19,160.0
玉山金(2884.TW),0.65,3867622,2884.TW,-1.28,-0.4
南俊國際(6584.TW),0.57,153000,6584.TW,0.88,6.0
華固(2548.TW),0.34,512000,2548.TW,-1.21,-1.5
聚陽(1477.TW),0.24,201000,1477.TW,-1.6,-3.5
欣銓(3264.TW),0.21,172000,3264.TW,1.13,2.5
嘉澤(3533.TW),0.18,13000,3533.TW,1.17,30.0
致伸(4915.TW),0.12,298000,4915.TW,0.42,0.3
