個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),12800000,19.01,2330.TW
聯電(2303.TW),75000000,7.19,2303.TW
奇鋐(3017.TW),3450000,4.99,3017.TW
國巨*(2327.TW),9000000,4.98,2327.TW
旺矽(6223.TW),1000000,4.35,6223.TW
華邦電(2344.TW),39600000,4.3,2344.TW
聯發科(2454.TW),1600000,3.86,2454.TW
欣興(3037.TW),7064000,3.8,3037.TW
台光電(2383.TW),1140000,3.71,2383.TW
智邦(2345.TW),2100000,3.19,2345.TW
台達電(2308.TW),2430000,2.81,2308.TW
日月光投控(3711.TW),5900000,2.46,3711.TW
緯穎(6669.TW),790000,2.45,6669.TW
臻鼎-KY(4958.TW),6440000,2.33,4958.TW
金像電(2368.TW),2750000,1.82,2368.TW
環球晶(6488.TW),2152000,1.79,6488.TW
台燿(6274.TW),1700000,1.64,6274.TW
景碩(3189.TW),3217000,1.57,3189.TW
健策(3653.TW),780000,1.54,3653.TW
嘉澤(3533.TW),1240000,1.49,3533.TW
創意(3443.TW),480000,1.28,3443.TW
高力(8996.TW),1600000,1.21,8996.TW
鴻勁(7769.TW),279000,1.14,7769.TW
穎崴(6515.TW),200000,0.95,6515.TW
南亞(1303.TW),8500000,0.95,1303.TW
南電(8046.TW),1226000,0.92,8046.TW
旺宏(2337.TW),10000000,0.88,2337.TW
金居(8358.TW),1950000,0.64,8358.TW
富世達(6805.TW),570000,0.51,6805.TW
致茂(2360.TW),450000,0.5,2360.TW
順達(3211.TW),1800000,0.5,3211.TW
鴻海(2317.TW),3200000,0.47,2317.TW
辛耘(3583.TW),900000,0.45,3583.TW
中砂(1560.TW),1000000,0.44,1560.TW
信驊(5274.TW),49500,0.42,5274.TW
譜瑞-KY(4966.TW),800000,0.32,4966.TW
矽力*-KY(6415.TW),900000,0.29,6415.TW
光聖(6442.TW),300000,0.27,6442.TW
上銀(2049.TW),1010000,0.21,2049.TW
貿聯-KY(3665.TW),166000,0.19,3665.TW
力成(6239.TW),900000,0.18,6239.TW
帆宣(6196.TW),442000,0.15,6196.TW
欣銓(3264.TW),600000,0.09,3264.TW
全新(2455.TW),450000,0.09,2455.TW
力旺(3529.TW),50000,0.08,3529.TW
