個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),588000,13.48,2330.TW
台積電期貨(FICDFN*1.TF),110,5.06,FICDFN*1.TF
技嘉(2376.TW),1448000,4.75,2376.TW
遠傳(4904.TW),3832000,3.7,4904.TW
中華電(2412.TW),2828000,3.65,2412.TW
緯穎(6669.TW),53000,3.44,6669.TW
聯亞(3081.TW),83000,2.66,3081.TW
新代(7750.TW),108000,2.52,7750.TW
智邦(2345.TW),124000,2.47,2345.TW
東元(1504.TW),3473000,2.43,1504.TW
穩懋(3105.TW),552000,2.34,3105.TW
奇鋐(3017.TW),68000,2.16,3017.TW
萬潤(6187.TW),151000,2.05,6187.TW
藥華藥(6446.TW),138000,2.05,6446.TW
國巨*(2327.TW),383000,2.02,2327.TW
大成鋼(2027.TW),4181000,1.94,2027.TW
日月光投控(3711.TW),335000,1.93,3711.TW
鴻勁(7769.TW),31000,1.87,7769.TW
聯發科(2454.TW),50000,1.84,2454.TW
欣興(3037.TW),160000,1.8,3037.TW
華航(2610.TW),8783000,1.74,2610.TW
台光電(2383.TW),32000,1.67,2383.TW
長榮(2603.TW),726000,1.61,2603.TW
光聖(6442.TW),106000,1.61,6442.TW
大立光(3008.TW),24000,1.58,3008.TW
台塑(1301.TW),2612000,1.57,1301.TW
川湖(2059.TW),11000,1.5,2059.TW
世芯-KY(3661.TW),40000,1.47,3661.TW
健策(3653.TW),27000,1.45,3653.TW
高力(8996.TW),113000,1.41,8996.TW
台達電(2308.TW),82000,1.38,2308.TW
頎邦(6147.TW),727000,1.3,6147.TW
文曄(3036.TW),686000,1.26,3036.TW
統一(1216.TW),1657000,1.22,1216.TW
南亞科(2408.TW),193000,0.99,2408.TW
研華(2395.TW),146000,0.94,2395.TW
南電(8046.TW),48000,0.59,8046.TW
華邦電(2344.TW),243000,0.43,2344.TW
群聯(8299.TW),20000,0.41,8299.TW
弘塑(3131.TW),12000,0.28,3131.TW
富邦金(2881.TW),154000,0.21,2881.TW
臻鼎-KY(4958.TW),46000,0.21,4958.TW
中信金(2891.TW),306000,0.19,2891.TW
金像電(2368.TW),19000,0.19,2368.TW
上銀(2049.TW),55000,0.19,2049.TW
聯電(2303.TW),171000,0.19,2303.TW
貿聯-KY(3665.TW),9000,0.18,3665.TW
鴻海(2317.TW),64000,0.15,2317.TW
致茂(2360.TW),5000,0.09,2360.TW
環球晶(6488.TW),10000,0.09,6488.TW
景碩(3189.TW),2000,0.02,3189.TW
