個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1706000,8.64,2330.TW
台光電(2383.TW),563000,6.45,2383.TW
奇鋐(3017.TW),1009000,5.3,3017.TW
智邦(2345.TW),977000,5.0,2345.TW
貿聯-KY(3665.TW),955000,4.64,3665.TW
旺矽(6223.TW),326000,4.47,6223.TW
川湖(2059.TW),293000,4.22,2059.TW
高力(8996.TW),1630000,4.18,8996.TW
欣興(3037.TW),2097000,4.03,3037.TW
聯發科(2454.TW),406000,3.73,2454.TW
國巨*(2327.TW),1566000,2.97,2327.TW
創意(3443.TW),311000,2.87,3443.TW
金像電(2368.TW),945000,2.86,2368.TW
穎崴(6515.TW),145000,2.85,6515.TW
萬潤(6187.TW),1220000,2.83,6187.TW
南俊國際(6584.TW),2204000,2.77,6584.TW
緯穎(6669.TW),228000,2.51,6669.TW
世芯-KY(3661.TW),262000,2.39,3661.TW
群聯(8299.TW),445000,2.2,8299.TW
穩懋(3105.TW),1949000,2.11,3105.TW
日月光投控(3711.TW),1629000,1.99,3711.TW
全新(2455.TW),2753000,1.98,2455.TW
健策(3653.TW),214000,1.74,3653.TW
台達電(2308.TW),344000,1.67,2308.TW
鴻勁(7769.TW),91000,1.44,7769.TW
南電(8046.TW),718000,1.3,8046.TW
大立光(3008.TW),125000,1.17,3008.TW
竑騰(7751.TW),375000,1.11,7751.TW
辛耘(3583.TW),566000,1.01,3583.TW
致茂(2360.TW),200000,0.99,2360.TW
尖點(8021.TW),501000,0.64,8021.TW
景碩(3189.TW),440013,0.61,3189.TW
上詮(3363.TW),300000,0.49,3363.TW
富世達(6805.TW),109000,0.43,6805.TW
旺宏(2337.TW),1343000,0.42,2337.TW
亞翔(6139.TW),250000,0.41,6139.TW
印能科技(7734.TW),56000,0.39,7734.TW
宜鼎(5289.TW),98000,0.38,5289.TW
威剛(3260.TW),358000,0.32,3260.TW
昇達科(3491.TW),1000,0.0,3491.TW
