個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價,Volume
台積電(2330.TW),16.42,14000000,2330.TW,0.0,0.0,0
聯電(2303.TW),5.83,79700000,2303.TW,0.0,0.0,0
欣興(3037.TW),4.93,8960000,3037.TW,0.0,0.0,0
奇鋐(3017.TW),4.47,3250000,3017.TW,0.0,0.0,0
日月光投控(3711.TW),3.96,12101000,3711.TW,0.0,0.0,0
台光電(2383.TW),3.65,1350000,2383.TW,0.0,0.0,0
金像電(2368.TW),3.3,4700000,2368.TW,0.0,0.0,0
國巨*(2327.TW),3.13,8760000,2327.TW,0.0,0.0,0
智邦(2345.TW),2.61,1950000,2345.TW,0.0,0.0,0
台達電(2308.TW),2.58,2010000,2308.TW,0.0,0.0,0
華邦電(2344.TW),2.42,30560000,2344.TW,0.0,0.0,0
旺矽(6223.TW),2.13,655000,6223.TW,0.0,0.0,0
聯發科(2454.TW),1.99,840000,2454.TW,0.0,0.0,0
緯穎(6669.TW),1.97,760000,6669.TW,0.0,0.0,0
南電(8046.TW),1.64,3550000,8046.TW,0.0,0.0,0
嘉澤(3533.TW),1.55,1160000,3533.TW,0.0,0.0,0
臻鼎-KY(4958.TW),1.49,5492000,4958.TW,0.0,0.0,0
群聯(8299.TW),1.47,1163000,8299.TW,0.0,0.0,0
信驊(5274.TW),1.44,155000,5274.TW,0.0,0.0,0
貿聯-KY(3665.TW),1.39,1285000,3665.TW,0.0,0.0,0
健策(3653.TW),1.25,670000,3653.TW,0.0,0.0,0
旺宏(2337.TW),1.22,15350000,2337.TW,0.0,0.0,0
致茂(2360.TW),1.12,840000,2360.TW,0.0,0.0,0
創意(3443.TW),1.04,400000,3443.TW,0.0,0.0,0
聯亞(3081.TW),1.0,680000,3081.TW,0.0,0.0,0
光聖(6442.TW),0.86,830000,6442.TW,0.0,0.0,0
世界(5347.TW),0.84,9911000,5347.TW,0.0,0.0,0
穎崴(6515.TW),0.82,165000,6515.TW,0.0,0.0,0
高力(8996.TW),0.72,1169000,8996.TW,0.0,0.0,0
頎邦(6147.TW),0.68,5000000,6147.TW,0.0,0.0,0
台燿(6274.TW),0.67,801000,6274.TW,0.0,0.0,0
鴻勁(7769.TW),0.66,166000,7769.TW,0.0,0.0,0
力旺(3529.TW),0.66,390000,3529.TW,0.0,0.0,0
健鼎(3044.TW),0.61,2300000,3044.TW,0.0,0.0,0
景碩(3189.TW),0.49,1380000,3189.TW,0.0,0.0,0
金居(8358.TW),0.49,1700000,8358.TW,0.0,0.0,0
勤誠(8210.TW),0.48,680000,8210.TW,0.0,0.0,0
環球晶(6488.TW),0.47,1000000,6488.TW,0.0,0.0,0
富世達(6805.TW),0.44,500000,6805.TW,0.0,0.0,0
華通(2313.TW),0.43,3000000,2313.TW,0.0,0.0,0
辛耘(3583.TW),0.4,900000,3583.TW,0.0,0.0,0
華星光(4979.TW),0.38,1200000,4979.TW,0.0,0.0,0
譜瑞-KY(4966.TW),0.35,784000,4966.TW,0.0,0.0,0
穩懋(3105.TW),0.27,957000,3105.TW,0.0,0.0,0
文曄(3036.TW),0.23,1500000,3036.TW,0.0,0.0,0
帆宣(6196.TW),0.22,870000,6196.TW,0.0,0.0,0
上銀(2049.TW),0.21,1010000,2049.TW,0.0,0.0,0
強茂(2481.TW),0.19,2510000,2481.TW,0.0,0.0,0
全新(2455.TW),0.1,450000,2455.TW,0.0,0.0,0
中砂(1560.TW),0.03,78000,1560.TW,0.0,0.0,0
