個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),208000,9.1,2330.TW
台光電(2383.TW),77000,8.38,2383.TW
國巨*(2327.TW),303000,5.67,2327.TW
聯發科(2454.TW),74000,5.56,2454.TW
智邦(2345.TW),110000,5.38,2345.TW
旺矽(6223.TW),36000,4.76,6223.TW
緯穎(6669.TW),43000,4.05,6669.TW
欣興(3037.TW),232000,4.02,3037.TW
奇鋐(3017.TW),80000,3.95,3017.TW
台達電(2308.TW),98000,3.64,2308.TW
南電(8046.TW),170000,3.61,8046.TW
金像電(2368.TW),135000,3.15,2368.TW
貿聯-KY(3665.TW),71000,2.54,3665.TW
日月光投控(3711.TW),207000,2.53,3711.TW
信驊(5274.TW),8000,2.47,5274.TW
穎崴(6515.TW),13000,2.3,6515.TW
台燿(6274.TW),68000,2.18,6274.TW
聯電(2303.TW),700000,2.14,2303.TW
鴻勁(7769.TW),16000,1.97,7769.TW
健策(3653.TW),30000,1.84,3653.TW
立隆電(2472.TW),162000,1.23,2472.TW
臻鼎-KY(4958.TW),107000,1.17,4958.TW
致茂(2360.TW),26000,1.05,2360.TW
勤誠(8210.TW),38000,0.89,8210.TW
華邦電(2344.TW),260000,0.86,2344.TW
高力(8996.TW),32000,0.79,8996.TW
健鼎(3044.TW),78000,0.73,3044.TW
信邦(3023.TW),113000,0.68,3023.TW
全新(2455.TW),101000,0.65,2455.TW
宜鼎(5289.TW),22000,0.64,5289.TW
元大金(2885.TW),493000,0.59,2885.TW
精測(6510.TW),8000,0.48,6510.TW
愛普*(6531.TW),27000,0.48,6531.TW
新代(7750.TW),12000,0.47,7750.TW
欣銓(3264.TW),107000,0.47,3264.TW
景碩(3189.TW),31000,0.46,3189.TW
頎邦(6147.TW),120000,0.46,6147.TW
京元電子(2449.TW),77000,0.46,2449.TW
創意(3443.TW),5000,0.45,3443.TW
穩懋(3105.TW),60000,0.44,3105.TW
萬潤(6187.TW),24000,0.44,6187.TW
高技(5439.TW),65180,0.41,5439.TW
迅得(6438.TW),140000,0.41,6438.TW
華通(2313.TW),90000,0.37,2313.TW
聯茂(6213.TW),50000,0.35,6213.TW
南茂(8150.TW),180000,0.34,8150.TW
聖暉*(5536.TW),12000,0.31,5536.TW
志聖(2467.TW),27000,0.3,2467.TW
亞翔(6139.TW),17000,0.29,6139.TW
富世達(6805.TW),9000,0.26,6805.TW
順達(3211.TW),30000,0.22,3211.TW
金居(8358.TW),20000,0.21,8358.TW
漢唐(2404.TW),5000,0.12,2404.TW
