個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),8.15,1937000,2330.TW,2.44,55.0
聯發科(2454.TW),6.88,890000,2454.TW,9.97,385.0
聖暉*(5536.TW),6.69,3872000,5536.TW,2.37,22.0
亞翔(6139.TW),4.13,2813000,6139.TW,4.94,38.0
穩懋(3105.TW),4.07,4118000,3105.TW,2.26,12.0
智邦(2345.TW),3.84,831000,2345.TW,2.83,70.0
致茂(2360.TW),3.81,851000,2360.TW,8.37,190.0
欣銓(3264.TW),3.81,9348000,3264.TW,1.13,2.5
昇達科(3491.TW),3.73,980000,3491.TW,8.29,160.0
旺矽(6223.TW),3.59,318000,6223.TW,2.73,165.0
台光電(2383.TW),3.43,342000,2383.TW,9.99,500.0
臻鼎-KY(4958.TW),3.13,3254000,4958.TW,2.52,13.0
緯穎(6669.TW),3.12,306000,6669.TW,1.54,85.0
頎邦(6147.TW),2.63,6092000,6147.TW,9.98,21.5
啟碁(6285.TW),2.26,4160000,6285.TW,0.68,2.0
川湖(2059.TW),2.23,246000,2059.TW,-2.16,-110.0
聯電(2303.TW),2.11,9288000,2303.TW,9.65,11.0
矽格(6257.TW),2.04,4846000,6257.TW,4.28,9.5
奇鋐(3017.TW),1.97,420000,3017.TW,1.18,30.0
辛耘(3583.TW),1.93,1160000,3583.TW,4.69,41.0
志聖(2467.TW),1.82,1512000,2467.TW,9.95,60.0
環球晶(6488.TW),1.69,1179000,6488.TW,9.9,71.0
光洋科(1785.TW),1.57,5717000,1785.TW,4.86,7.0
立隆電(2472.TW),1.46,2870000,2472.TW,7.5,19.5
大立光(3008.TW),1.46,208000,3008.TW,8.62,305.0
微星(2377.TW),1.34,5817000,2377.TW,2.42,3.0
鴻勁(7769.TW),1.34,96000,7769.TW,-1.1,-85.0
台燿(6274.TW),1.33,455000,6274.TW,9.97,145.0
文曄(3036.TW),1.31,2391000,3036.TW,4.33,12.5
大聯大(3702.TW),1.26,5605000,3702.TW,4.66,5.5
矽創(8016.TW),1.21,2284000,8016.TW,-0.34,-1.0
日月光投控(3711.TW),1.17,1041000,3711.TW,9.98,56.0
楠梓電(2316.TW),1.07,3486000,2316.TW,9.77,15.0
國巨*(2327.TW),1.07,850000,2327.TW,9.86,62.0
金像電(2368.TW),1.05,406000,2368.TW,7.14,95.0
台表科(6278.TW),0.99,2277000,6278.TW,-2.86,-7.0
漢唐(2404.TW),0.87,384000,2404.TW,7.79,90.0
高力(8996.TW),0.8,389000,8996.TW,-2.99,-35.0
精測(6510.TW),0.79,126000,6510.TW,1.47,50.0
愛普*(6531.TW),0.59,309000,6531.TW,9.55,92.0
順德(2351.TW),0.5,1393000,2351.TW,5.36,10.0
技嘉(2376.TW),0.34,548000,2376.TW,4.34,14.0
邁科(6831.TW),0.33,230000,6831.TW,0.76,6.0
創見(2451.TW),0.3,535000,2451.TW,-1.74,-5.5
信驊(5274.TW),0.29,9000,5274.TW,-0.31,-55.0
新日興(3376.TW),0.15,371000,3376.TW,5.0,10.5
元大金(2885.TW),0.12,1150420,2885.TW,1.81,1.0
達麗(6177.TW),0.11,1362350,6177.TW,-3.62,-1.6
南電(8046.TW),0.04,26000,8046.TW,-5.35,-50.0
創意(3443.TW),0.01,1000,3443.TW,3.31,170.0
兆豐金(2886.TW),0.0,1000,2886.TW,-1.0,-0.4
振大環球(4441.TW),0.0,4000,4441.TW,-2.65,-5.5
神達(3706.TW),0.0,1400,3706.TW,0.8,0.7
貿聯-KY(3665.TW),0.0,136,3665.TW,7.19,160.0
華固(2548.TW),0.0,2000,2548.TW,-1.21,-1.5
富邦金(2881.TW),0.0,250,2881.TW,2.73,2.6
華城(1519.TW),0.0,600,1519.TW,0.48,4.0
金居(8358.TW),0.0,1000,8358.TW,4.41,23.0
富世達(6805.TW),0.0,1000,6805.TW,-2.79,-50.0
