個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),11960000,9.75,2330.TW
台光電(2383.TW),4723000,8.48,2383.TW
聯發科(2454.TW),4263000,6.68,2454.TW
台達電(2308.TW),6572000,5.58,2308.TW
智邦(2345.TW),6231000,5.39,2345.TW
國巨*(2327.TW),18313000,4.83,2327.TW
奇鋐(3017.TW),5141000,4.71,3017.TW
旺矽(6223.TW),2169000,4.56,6223.TW
欣興(3037.TW),12466000,4.54,3037.TW
緯穎(6669.TW),2344000,4.12,6669.TW
日月光投控(3711.TW),17948000,4.0,3711.TW
金像電(2368.TW),7769000,3.6,2368.TW
聯電(2303.TW),71190000,3.59,2303.TW
貿聯-KY(3665.TW),4703848,3.53,3665.TW
南電(8046.TW),11398000,3.44,8046.TW
健策(3653.TW),2267000,2.82,3653.TW
信驊(5274.TW),422000,2.67,5274.TW
台燿(6274.TW),4151000,2.27,6274.TW
穎崴(6515.TW),442000,1.43,6515.TW
富世達(6805.TW),1761000,1.1,6805.TW
精測(6510.TW),930000,1.08,6510.TW
勤誠(8210.TW),2167000,1.02,8210.TW
京元電子(2449.TW),8268000,0.94,2449.TW
嘉澤(3533.TW),852000,0.75,3533.TW
漢唐(2404.TW),1715000,0.71,2404.TW
萬潤(6187.TW),1334000,0.59,6187.TW
欣銓(3264.TW),6217000,0.52,3264.TW
高技(5439.TW),3528000,0.46,5439.TW
頎邦(6147.TW),4631000,0.46,6147.TW
南茂(8150.TW),11635000,0.43,8150.TW
高力(8996.TW),1034000,0.4,8996.TW
大立光(3008.TW),329000,0.4,3008.TW
金居(8358.TW),1980000,0.39,8358.TW
譜瑞-KY(4966.TW),1036000,0.31,4966.TW
台表科(6278.TW),3734000,0.3,6278.TW
亞德客-KY(1590.TW),530000,0.26,1590.TW
創意(3443.TW),96000,0.16,3443.TW
精成科(6191.TW),3988000,0.14,6191.TW
新日興(3376.TW),1741000,0.13,3376.TW
同欣電(6271.TW),686000,0.06,6271.TW
中鋼(2002.TW),5163000,0.03,2002.TW
華通(2313.TW),329000,0.03,2313.TW
東陽(1319.TW),511000,0.02,1319.TW
富喬(1815.TW),107000,0.0,1815.TW
鴻海(2317.TW),1000,0.0,2317.TW
美律(2439.TW),18000,0.0,2439.TW
華碩(2357.TW),1000,0.0,2357.TW
強茂(2481.TW),5000,0.0,2481.TW
世芯-KY(3661.TW),1000,0.0,3661.TW
世界(5347.TW),1000,0.0,5347.TW
