個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),152000,9.16,2330.TW
聯發科(2454.TW),56000,7.1,2454.TW
臻鼎-KY(4958.TW),481000,5.76,4958.TW
台達電(2308.TW),115000,5.35,2308.TW
國巨*(2327.TW),352000,4.92,2327.TW
台光電(2383.TW),40000,4.76,2383.TW
精測(6510.TW),51000,4.62,6510.TW
創意(3443.TW),22000,4.51,3443.TW
台表科(6278.TW),665000,3.48,6278.TW
雍智科技(6683.TW),88000,3.43,6683.TW
高力(8996.TW),72000,2.92,8996.TW
健策(3653.TW),20000,2.86,3653.TW
旺矽(6223.TW),19000,2.49,6223.TW
聯電(2303.TW),613000,2.4,2303.TW
景碩(3189.TW),106000,2.36,3189.TW
立隆電(2472.TW),425000,2.26,2472.TW
奇鋐(3017.TW),26000,2.16,3017.TW
邁科(6831.TW),171000,2.14,6831.TW
欣興(3037.TW),76000,2.08,3037.TW
竑騰(7751.TW),53000,1.84,7751.TW
尖點(8021.TW),144000,1.68,8021.TW
上詮(3363.TW),103000,1.66,3363.TW
矽力*-KY(6415.TW),156000,1.64,6415.TW
營邦(3693.TW),94000,1.61,3693.TW
南電(8046.TW),54000,1.54,8046.TW
致茂(2360.TW),25000,1.49,2360.TW
勤誠(8210.TW),65000,1.43,8210.TW
台燿(6274.TW),37000,1.3,6274.TW
華邦電(2344.TW),280000,1.17,2344.TW
汎銓(6830.TW),79000,1.06,6830.TW
南亞科(2408.TW),80000,0.97,2408.TW
祥碩(5269.TW),22000,0.8,5269.TW
力成(6239.TW),102000,0.73,6239.TW
南亞(1303.TW),87000,0.49,1303.TW
金像電(2368.TW),14000,0.36,2368.TW
晶技(3042.TW),79000,0.36,3042.TW
志聖(2467.TW),25000,0.32,2467.TW
弘塑(3131.TW),5000,0.3,3131.TW
力積電(6770.TW),127000,0.22,6770.TW
達發(6526.TW),12000,0.22,6526.TW
嘉澤(3533.TW),4000,0.17,3533.TW
貿聯-KY(3665.TW),3000,0.17,3665.TW
台玻(1802.TW),90000,0.13,1802.TW
愛普*(6531.TW),5000,0.11,6531.TW
日月光投控(3711.TW),5000,0.09,3711.TW
新應材(4749.TW),5086,0.09,4749.TW
聯茂(6213.TW),6000,0.08,6213.TW
富邦金(2881.TW),20000,0.08,2881.TW
國泰金(2882.TW),25000,0.07,2882.TW
鴻海(2317.TW),9000,0.06,2317.TW
廣達(2382.TW),6000,0.05,2382.TW
京元電子(2449.TW),6300,0.05,2449.TW
