個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),8.02,1937000,2330.TW,-1.73,-40.0
聖暉*(5536.TW),7.18,3804000,5536.TW,9.06,86.0
聯發科(2454.TW),6.79,873000,2454.TW,0.47,20.0
亞翔(6139.TW),4.24,2813000,6139.TW,2.35,19.0
穩懋(3105.TW),4.14,4039000,3105.TW,3.5,19.0
智邦(2345.TW),3.9,816000,2345.TW,3.15,80.0
欣銓(3264.TW),3.87,9176000,3264.TW,3.12,7.0
致茂(2360.TW),3.81,835000,2360.TW,1.63,40.0
昇達科(3491.TW),3.71,980000,3491.TW,-0.72,-15.0
旺矽(6223.TW),3.55,312000,6223.TW,0.65,40.0
台光電(2383.TW),3.23,335000,2383.TW,-3.91,-215.0
臻鼎-KY(4958.TW),3.14,3192000,4958.TW,2.08,11.0
緯穎(6669.TW),2.89,300000,6669.TW,-5.88,-330.0
頎邦(6147.TW),2.85,5987000,6147.TW,9.92,23.5
啟碁(6285.TW),2.27,4083000,6285.TW,2.18,6.5
聯電(2303.TW),2.17,9119000,2303.TW,4.4,5.5
矽格(6257.TW),2.06,4756000,6257.TW,2.38,5.5
奇鋐(3017.TW),2.05,412000,3017.TW,5.83,150.0
辛耘(3583.TW),1.89,1138000,3583.TW,-0.87,-8.0
環球晶(6488.TW),1.83,1159000,6488.TW,9.9,78.0
志聖(2467.TW),1.81,1484000,2467.TW,0.75,5.0
川湖(2059.TW),1.71,186000,2059.TW,1.1,55.0
立隆電(2472.TW),1.58,2820000,2472.TW,9.84,27.5
光洋科(1785.TW),1.51,5607000,1785.TW,-1.99,-3.0
大立光(3008.TW),1.36,204000,3008.TW,-4.68,-180.0
鴻勁(7769.TW),1.35,94000,7769.TW,3.34,255.0
微星(2377.TW),1.32,5736000,2377.TW,-0.79,-1.0
台燿(6274.TW),1.29,446000,6274.TW,-1.25,-20.0
文曄(3036.TW),1.26,2344000,3036.TW,-2.65,-8.0
大聯大(3702.TW),1.22,5498000,3702.TW,-1.62,-2.0
矽創(8016.TW),1.18,2240000,8016.TW,-0.52,-1.5
日月光投控(3711.TW),1.14,1022000,3711.TW,-0.97,-6.0
楠梓電(2316.TW),1.07,3422000,2316.TW,1.78,3.0
金像電(2368.TW),1.05,398000,2368.TW,1.4,20.0
台表科(6278.TW),1.01,2235000,6278.TW,3.57,8.5
國巨*(2327.TW),1.0,833000,2327.TW,-4.34,-30.0
漢唐(2404.TW),0.87,379000,2404.TW,1.61,20.0
高力(8996.TW),0.87,382000,8996.TW,9.69,110.0
精測(6510.TW),0.77,124000,6510.TW,-1.16,-40.0
愛普*(6531.TW),0.6,303000,6531.TW,2.37,25.0
順德(2351.TW),0.54,1369000,2351.TW,9.92,19.5
邁科(6831.TW),0.34,226000,6831.TW,3.54,28.0
技嘉(2376.TW),0.33,538000,2376.TW,-0.15,-0.5
創見(2451.TW),0.3,525000,2451.TW,1.77,5.5
信驊(5274.TW),0.28,9000,5274.TW,-2.74,-485.0
新日興(3376.TW),0.15,364000,3376.TW,-0.68,-1.5
元大金(2885.TW),0.12,1128420,2885.TW,2.14,1.2
達麗(6177.TW),0.07,967350,6177.TW,-1.06,-0.45
創意(3443.TW),0.01,1000,3443.TW,-0.47,-25.0
兆豐金(2886.TW),0.0,1000,2886.TW,-0.25,-0.1
振大環球(4441.TW),0.0,4000,4441.TW,0.5,1.0
神達(3706.TW),0.0,1400,3706.TW,-1.24,-1.1
貿聯-KY(3665.TW),0.0,136,3665.TW,-5.03,-120.0
華固(2548.TW),0.0,2000,2548.TW,-0.82,-1.0
富邦金(2881.TW),0.0,250,2881.TW,5.94,5.8
華城(1519.TW),0.0,600,1519.TW,2.53,21.0
富世達(6805.TW),0.0,1000,6805.TW,2.29,40.0
南電(8046.TW),0.0,2000,8046.TW,4.3,38.0
金居(8358.TW),0.0,1000,8358.TW,-2.2,-12.0
