個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),16.34,14000000,2330.TW,-1.73,-40.0
聯電(2303.TW),5.35,79700000,2303.TW,4.4,5.5
欣興(3037.TW),5.0,8960000,3037.TW,9.6,95.0
奇鋐(3017.TW),4.55,3250000,3017.TW,5.83,150.0
日月光投控(3711.TW),3.8,12101000,3711.TW,-0.97,-6.0
台光電(2383.TW),3.67,1350000,2383.TW,-3.91,-215.0
金像電(2368.TW),3.46,4650000,2368.TW,1.4,20.0
國巨*(2327.TW),2.98,8760000,2327.TW,-4.34,-30.0
智邦(2345.TW),2.63,1950000,2345.TW,3.15,80.0
台達電(2308.TW),2.2,1823000,2308.TW,2.62,60.0
華邦電(2344.TW),2.12,29300000,2344.TW,9.73,12.5
緯穎(6669.TW),2.06,760000,6669.TW,-5.88,-330.0
旺矽(6223.TW),2.01,625000,6223.TW,0.65,40.0
南電(8046.TW),1.68,3550000,8046.TW,4.3,38.0
嘉澤(3533.TW),1.57,1160000,3533.TW,2.13,55.0
臻鼎-KY(4958.TW),1.52,5492000,4958.TW,2.08,11.0
貿聯-KY(3665.TW),1.5,1285000,3665.TW,-5.03,-120.0
群聯(8299.TW),1.5,1163000,8299.TW,1.01,25.0
聯發科(2454.TW),1.39,632000,2454.TW,0.47,20.0
信驊(5274.TW),1.37,155000,5274.TW,-2.74,-485.0
旺宏(2337.TW),1.27,15350000,2337.TW,5.25,8.0
聯亞(3081.TW),1.06,650000,3081.TW,8.03,235.0
致茂(2360.TW),1.02,795000,2360.TW,1.63,40.0
創意(3443.TW),1.01,370000,3443.TW,-0.47,-25.0
光聖(6442.TW),0.97,830000,6442.TW,9.95,205.0
世界(5347.TW),0.84,9911000,5347.TW,-2.08,-3.5
健策(3653.TW),0.81,430000,3653.TW,-2.65,-100.0
穎崴(6515.TW),0.76,165000,6515.TW,0.62,55.0
高力(8996.TW),0.75,1169000,8996.TW,9.69,110.0
力旺(3529.TW),0.7,390000,3529.TW,-6.06,-225.0
鴻勁(7769.TW),0.67,166000,7769.TW,3.34,255.0
頎邦(6147.TW),0.67,5000000,6147.TW,9.92,23.5
華通(2313.TW),0.63,4300000,2313.TW,-4.69,-14.0
台燿(6274.TW),0.61,751000,6274.TW,-1.25,-20.0
健鼎(3044.TW),0.6,2300000,3044.TW,3.24,16.0
勤誠(8210.TW),0.5,680000,8210.TW,0.35,5.0
金居(8358.TW),0.47,1700000,8358.TW,-2.2,-12.0
富世達(6805.TW),0.46,500000,6805.TW,2.29,40.0
辛耘(3583.TW),0.42,900000,3583.TW,-0.87,-8.0
譜瑞-KY(4966.TW),0.33,784000,4966.TW,-1.34,-11.0
華星光(4979.TW),0.3,860000,4979.TW,3.82,25.0
景碩(3189.TW),0.29,800000,3189.TW,4.04,27.0
穩懋(3105.TW),0.28,957000,3105.TW,3.5,19.0
文曄(3036.TW),0.23,1500000,3036.TW,-2.65,-8.0
上銀(2049.TW),0.21,1010000,2049.TW,3.67,14.5
帆宣(6196.TW),0.2,770000,6196.TW,4.12,20.0
強茂(2481.TW),0.19,2510000,2481.TW,9.7,13.0
全新(2455.TW),0.1,450000,2455.TW,-4.62,-20.5
中砂(1560.TW),0.03,78000,1560.TW,3.06,22.0
順達(3211.TW),0.0,1000,3211.TW,9.96,42.5
