個股名稱,持有股數,投資比例(%),ticker
奇鋐(3017.TW),86000,8.65,3017.TW
台積電(2330.TW),90000,8.08,2330.TW
欣興(3037.TW),190000,6.79,3037.TW
台光電(2383.TW),34000,6.76,2383.TW
旺矽(6223.TW),27000,6.16,6223.TW
創意(3443.TW),34000,5.45,3443.TW
聯發科(2454.TW),32000,4.79,2454.TW
貿聯-KY(3665.TW),50000,4.45,3665.TW
南亞科(2408.TW),240000,4.05,2408.TW
台燿(6274.TW),75000,3.89,6274.TW
南電(8046.TW),91000,3.68,8046.TW
亞翔(6139.TW),96000,2.92,6139.TW
健策(3653.TW),18000,2.89,3653.TW
全新(2455.TW),205000,2.8,2455.TW
智邦(2345.TW),28000,2.51,2345.TW
緯創(3231.TW),327000,2.47,3231.TW
鴻勁(7769.TW),10000,2.39,7769.TW
昇陽半導體(8028.TW),218000,2.26,8028.TW
雍智科技(6683.TW),52000,2.19,6683.TW
上詮(3363.TW),92729,2.02,3363.TW
竹陞科技(6739.TW),50000,1.92,6739.TW
雙鍵(4764.TW),171000,1.71,4764.TW
穎崴(6515.TW),6000,1.53,6515.TW
金居(8358.TW),114000,1.5,8358.TW
聯亞(3081.TW),4800,0.36,3081.TW
信驊(5274.TW),300,0.18,5274.TW
