個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),9.24,11657000,2330.TW,-1.73,-40.0
台光電(2383.TW),8.72,4723000,2383.TW,-3.91,-215.0
聯發科(2454.TW),6.35,4263000,2454.TW,0.47,20.0
智邦(2345.TW),5.7,6231000,2345.TW,3.15,80.0
台達電(2308.TW),5.39,6572000,2308.TW,2.62,60.0
奇鋐(3017.TW),4.89,5141000,3017.TW,5.83,150.0
旺矽(6223.TW),4.73,2169000,6223.TW,0.65,40.0
欣興(3037.TW),4.57,12076000,3037.TW,9.6,95.0
緯穎(6669.TW),4.32,2344000,6669.TW,-5.88,-330.0
國巨*(2327.TW),4.23,18313000,2327.TW,-4.34,-30.0
金像電(2368.TW),3.87,7669000,2368.TW,1.4,20.0
貿聯-KY(3665.TW),3.72,4703848,3665.TW,-5.03,-120.0
南電(8046.TW),3.67,11398000,8046.TW,4.3,38.0
日月光投控(3711.TW),3.34,15640000,3711.TW,-0.97,-6.0
聯電(2303.TW),3.02,66190000,2303.TW,4.4,5.5
健策(3653.TW),2.9,2267000,3653.TW,-2.65,-100.0
信驊(5274.TW),2.54,422000,5274.TW,-2.74,-485.0
台燿(6274.TW),2.29,4151000,6274.TW,-1.25,-20.0
京元電子(2449.TW),1.53,12919000,2449.TW,6.78,21.5
穎崴(6515.TW),1.37,442000,6515.TW,0.62,55.0
精測(6510.TW),1.11,930000,6510.TW,-1.16,-40.0
富世達(6805.TW),1.1,1761000,6805.TW,2.29,40.0
勤誠(8210.TW),1.09,2167000,8210.TW,0.35,5.0
漢唐(2404.TW),0.76,1715000,2404.TW,1.61,20.0
嘉澤(3533.TW),0.71,772000,3533.TW,2.13,55.0
欣銓(3264.TW),0.5,6217000,3264.TW,3.12,7.0
萬潤(6187.TW),0.49,1224000,6187.TW,-4.55,-55.0
高技(5439.TW),0.48,3528000,5439.TW,1.56,6.0
高力(8996.TW),0.45,1034000,8996.TW,9.69,110.0
大立光(3008.TW),0.42,329000,3008.TW,-4.68,-180.0
金居(8358.TW),0.37,1980000,8358.TW,-2.2,-12.0
南茂(8150.TW),0.34,11334000,8150.TW,-1.61,-1.4
台表科(6278.TW),0.32,3734000,6278.TW,3.57,8.5
頎邦(6147.TW),0.29,3201000,6147.TW,9.92,23.5
譜瑞-KY(4966.TW),0.29,1036000,4966.TW,-1.34,-11.0
亞德客-KY(1590.TW),0.27,530000,1590.TW,1.03,15.0
矽力*-KY(6415.TW),0.23,1038000,6415.TW,1.94,12.0
創意(3443.TW),0.18,96000,3443.TW,-0.47,-25.0
華通(2313.TW),0.16,1649000,2313.TW,-4.69,-14.0
新日興(3376.TW),0.13,1741000,3376.TW,-0.68,-1.5
精成科(6191.TW),0.13,3988000,6191.TW,-1.84,-1.8
強茂(2481.TW),0.11,2056000,2481.TW,9.7,13.0
同欣電(6271.TW),0.06,686000,6271.TW,6.98,17.0
中鋼(2002.TW),0.04,5163000,2002.TW,-2.26,-0.45
東陽(1319.TW),0.01,511000,1319.TW,-0.87,-0.7
富喬(1815.TW),0.0,107000,1815.TW,-0.92,-1.0
鴻海(2317.TW),0.0,1000,2317.TW,-0.77,-2.0
美律(2439.TW),0.0,18000,2439.TW,4.65,4.1
華碩(2357.TW),0.0,1000,2357.TW,-1.41,-10.0
世界(5347.TW),0.0,1000,5347.TW,-2.08,-3.5
世芯-KY(3661.TW),0.0,1000,3661.TW,-5.31,-260.0
