個股名稱,持有股數,投資比例(%),ticker
臺股期貨,,20.63,
臺指選擇權第一週週五到期契約,,10.19,
台積電(2330.TW),273000.0,8.48,2330.TW
國巨*(2327.TW),481000.0,6.47,2327.TW
台光電(2383.TW),83000.0,5.78,2383.TW
臺指選擇權第一週週三到期契約,,5.67,
聯發科(2454.TW),107000.0,5.51,2454.TW
智邦(2345.TW),140000.0,4.42,2345.TW
欣興(3037.TW),307000.0,3.97,3037.TW
旺矽(6223.TW),46000.0,3.97,6223.TW
奇鋐(3017.TW),128000.0,3.83,3017.TW
南電(8046.TW),222000.0,3.31,8046.TW
日月光投控(3711.TW),380000.0,3.18,3711.TW
聯電(2303.TW),1430000.0,3.11,2303.TW
緯穎(6669.TW),53000.0,3.01,6669.TW
台達電(2308.TW),124000.0,2.98,2308.TW
台燿(6274.TW),127000.0,2.66,6274.TW
金像電(2368.TW),164000.0,2.59,2368.TW
貿聯-KY(3665.TW),100000.0,2.46,3665.TW
健策(3653.TW),49000.0,2.21,3653.TW
信驊(5274.TW),8000.0,1.66,5274.TW
致茂(2360.TW),57000.0,1.54,2360.TW
華邦電(2344.TW),488000.0,1.34,2344.TW
川湖(2059.TW),12000.0,1.11,2059.TW
富世達(6805.TW),51000.0,1.11,6805.TW
穎崴(6515.TW),9000.0,0.98,6515.TW
元大金(2885.TW),1120000.0,0.98,2885.TW
萬潤(6187.TW),55000.0,0.78,6187.TW
晶技(3042.TW),215000.0,0.55,3042.TW
頎邦(6147.TW),182000.0,0.52,6147.TW
勤誠(8210.TW),31000.0,0.51,8210.TW
臺慶科(3357.TW),120000.0,0.48,3357.TW
聯茂(6213.TW),100000.0,0.46,6213.TW
聖暉*(5536.TW),25000.0,0.43,5536.TW
大量(3167.TW),40000.0,0.41,3167.TW
漢唐(2404.TW),23000.0,0.41,2404.TW
立隆電(2472.TW),76000.0,0.38,2472.TW
南茂(8150.TW),283000.0,0.37,8150.TW
南亞(1303.TW),185000.0,0.36,1303.TW
茂達(6138.TW),80000.0,0.35,6138.TW
嘉澤(3533.TW),12000.0,0.33,3533.TW
弘塑(3131.TW),7000.0,0.31,3131.TW
精測(6510.TW),6000.0,0.26,6510.TW
愛普*(6531.TW),20000.0,0.26,6531.TW
高技(5439.TW),60000.0,0.24,5439.TW
雍智科技(6683.TW),10000.0,0.23,6683.TW
創意(3443.TW),4000.0,0.23,3443.TW
全新(2455.TW),50000.0,0.23,2455.TW
宜鼎(5289.TW),10000.0,0.21,5289.TW
新日興(3376.TW),70000.0,0.18,3376.TW
穩懋(3105.TW),30000.0,0.17,3105.TW
世芯-KY(3661.TW),3000.0,0.15,3661.TW
環球晶(6488.TW),6000.0,0.07,6488.TW
