個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價,Volume
台積電(2330.TW),9.23,11657000,2330.TW,0.0,0.0,0
台光電(2383.TW),8.63,4723000,2383.TW,0.0,0.0,0
聯發科(2454.TW),6.81,4263000,2454.TW,0.0,0.0,0
台達電(2308.TW),5.7,6572000,2308.TW,0.0,0.0,0
智邦(2345.TW),5.62,6231000,2345.TW,0.0,0.0,0
奇鋐(3017.TW),4.78,5141000,3017.TW,0.0,0.0,0
旺矽(6223.TW),4.77,2169000,6223.TW,0.0,0.0,0
欣興(3037.TW),4.64,12466000,3037.TW,0.0,0.0,0
國巨*(2327.TW),4.42,18313000,2327.TW,0.0,0.0,0
緯穎(6669.TW),4.1,2344000,6669.TW,0.0,0.0,0
金像電(2368.TW),3.68,7769000,2368.TW,0.0,0.0,0
日月光投控(3711.TW),3.68,16640000,3711.TW,0.0,0.0,0
南電(8046.TW),3.55,11398000,8046.TW,0.0,0.0,0
聯電(2303.TW),3.52,71190000,2303.TW,0.0,0.0,0
貿聯-KY(3665.TW),3.43,4703848,3665.TW,0.0,0.0,0
健策(3653.TW),2.86,2267000,3653.TW,0.0,0.0,0
信驊(5274.TW),2.65,422000,5274.TW,0.0,0.0,0
台燿(6274.TW),2.33,4151000,6274.TW,0.0,0.0,0
穎崴(6515.TW),1.49,442000,6515.TW,0.0,0.0,0
富世達(6805.TW),1.05,1761000,6805.TW,0.0,0.0,0
勤誠(8210.TW),1.04,2167000,8210.TW,0.0,0.0,0
精測(6510.TW),1.02,930000,6510.TW,0.0,0.0,0
京元電子(2449.TW),0.9,8268000,2449.TW,0.0,0.0,0
嘉澤(3533.TW),0.77,852000,3533.TW,0.0,0.0,0
漢唐(2404.TW),0.73,1715000,2404.TW,0.0,0.0,0
萬潤(6187.TW),0.52,1334000,6187.TW,0.0,0.0,0
欣銓(3264.TW),0.49,6217000,3264.TW,0.0,0.0,0
高技(5439.TW),0.47,3528000,5439.TW,0.0,0.0,0
高力(8996.TW),0.43,1034000,8996.TW,0.0,0.0,0
大立光(3008.TW),0.4,329000,3008.TW,0.0,0.0,0
金居(8358.TW),0.38,1980000,8358.TW,0.0,0.0,0
南茂(8150.TW),0.38,11635000,8150.TW,0.0,0.0,0
譜瑞-KY(4966.TW),0.31,1036000,4966.TW,0.0,0.0,0
台表科(6278.TW),0.3,3734000,6278.TW,0.0,0.0,0
頎邦(6147.TW),0.29,3201000,6147.TW,0.0,0.0,0
亞德客-KY(1590.TW),0.26,530000,1590.TW,0.0,0.0,0
矽力*-KY(6415.TW),0.24,1038000,6415.TW,0.0,0.0,0
創意(3443.TW),0.17,96000,3443.TW,0.0,0.0,0
新日興(3376.TW),0.13,1741000,3376.TW,0.0,0.0,0
精成科(6191.TW),0.13,3988000,6191.TW,0.0,0.0,0
同欣電(6271.TW),0.06,686000,6271.TW,0.0,0.0,0
中鋼(2002.TW),0.03,5163000,2002.TW,0.0,0.0,0
華通(2313.TW),0.03,329000,2313.TW,0.0,0.0,0
東陽(1319.TW),0.01,511000,1319.TW,0.0,0.0,0
富喬(1815.TW),0.0,107000,1815.TW,0.0,0.0,0
鴻海(2317.TW),0.0,1000,2317.TW,0.0,0.0,0
美律(2439.TW),0.0,18000,2439.TW,0.0,0.0,0
華碩(2357.TW),0.0,1000,2357.TW,0.0,0.0,0
強茂(2481.TW),0.0,5000,2481.TW,0.0,0.0,0
世芯-KY(3661.TW),0.0,1000,3661.TW,0.0,0.0,0
世界(5347.TW),0.0,1000,5347.TW,0.0,0.0,0
