個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),179000.0,9.72,2330.TW
聯發科(2454.TW),81000.0,7.38,2454.TW
台光電(2383.TW),51000.0,6.4,2383.TW
國巨*(2327.TW),450000.0,6.29,2327.TW
臻鼎-KY(4958.TW),562000.0,6.24,4958.TW
台達電(2308.TW),115000.0,4.7,2308.TW
華邦電(2344.TW),895000.0,3.61,2344.TW
立隆電(2472.TW),633000.0,3.51,2472.TW
南亞科(2408.TW),296000.0,3.28,2408.TW
南電(8046.TW),114000.0,2.97,8046.TW
創意(3443.TW),26000.0,2.92,3443.TW
邁科(6831.TW),203000.0,2.84,6831.TW
旺矽(6223.TW),19000.0,2.72,6223.TW
欣興(3037.TW),121000.0,2.72,3037.TW
力成(6239.TW),331000.0,2.12,6239.TW
台表科(6278.TW),548000.0,2.08,6278.TW
健策(3653.TW),20000.0,1.84,3653.TW
矽力*-KY(6415.TW),156000.0,1.65,6415.TW
世芯-KY(3661.TW),18000.0,1.61,3661.TW
景碩(3189.TW),84000.0,1.6,3189.TW
晶技(3042.TW),371000.0,1.5,3042.TW
南亞(1303.TW),341000.0,1.47,1303.TW
力積電(6770.TW),958000.0,1.45,6770.TW
尖點(8021.TW),144000.0,1.43,8021.TW
智邦(2345.TW),27000.0,1.31,2345.TW
愛普*(6531.TW),68000.0,1.28,6531.TW
小型臺指期貨,,1.28,
上詮(3363.TW),90000.0,1.24,3363.TW
致茂(2360.TW),25000.0,1.18,2360.TW
營邦(3693.TW),94000.0,1.05,3693.TW
勤誠(8210.TW),45000.0,1.04,8210.TW
台燿(6274.TW),24000.0,0.87,6274.TW
祥碩(5269.TW),22000.0,0.72,5269.TW
奇鋐(3017.TW),11000.0,0.69,3017.TW
日月光投控(3711.TW),35000.0,0.5,3711.TW
高力(8996.TW),15000.0,0.36,8996.TW
台灣精銳(4583.TW),30000.0,0.34,4583.TW
合晶(6182.TW),157000.0,0.33,6182.TW
金像電(2368.TW),14000.0,0.31,2368.TW
志聖(2467.TW),25000.0,0.3,2467.TW
弘塑(3131.TW),5000.0,0.27,3131.TW
達發(6526.TW),12000.0,0.17,6526.TW
貿聯-KY(3665.TW),3000.0,0.15,3665.TW
台玻(1802.TW),90000.0,0.11,1802.TW
嘉澤(3533.TW),2000.0,0.09,3533.TW
新應材(4749.TW),5086.0,0.09,4749.TW
聯茂(6213.TW),6000.0,0.06,6213.TW
富邦金(2881.TW),20000.0,0.06,2881.TW
國泰金(2882.TW),25000.0,0.06,2882.TW
鴻海(2317.TW),9000.0,0.05,2317.TW
廣達(2382.TW),6000.0,0.04,2382.TW
京元電子(2449.TW),6300.0,0.04,2449.TW
