個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),958000,8.98,2330.TW
聯發科(2454.TW),440000,6.18,2454.TW
台光電(2383.TW),281000,5.32,2383.TW
環球晶(6488.TW),853000,4.44,6488.TW
致茂(2360.TW),544000,4.11,2360.TW
旺矽(6223.TW),171000,4.04,6223.TW
緯穎(6669.TW),203000,3.94,6669.TW
奇鋐(3017.TW),457000,3.86,3017.TW
欣興(3037.TW),1071000,3.59,3037.TW
川湖(2059.TW),108000,3.55,2059.TW
台達電(2308.TW),446000,3.23,2308.TW
貿聯-KY(3665.TW),331000,2.46,3665.TW
創意(3443.TW),136000,2.16,3443.TW
南亞科(2408.TW),1218000,2.03,2408.TW
智邦(2345.TW),227000,2.0,2345.TW
信驊(5274.TW),37400,1.97,5274.TW
世界(5347.TW),2701000,1.92,5347.TW
聯電(2303.TW),2962000,1.8,2303.TW
國巨*(2327.TW),581000,1.71,2327.TW
健鼎(3044.TW),1034000,1.66,3044.TW
日月光投控(3711.TW),608000,1.57,3711.TW
萬潤(6187.TW),349000,1.42,6187.TW
華碩(2357.TW),481000,1.31,2357.TW
南電(8046.TW),258000,1.25,8046.TW
技嘉(2376.TW),919000,1.18,2376.TW
精測(6510.TW),114000,1.16,6510.TW
勤誠(8210.TW),250000,1.12,8210.TW
文曄(3036.TW),1497000,1.11,3036.TW
元大金(2885.TW),4012000,1.02,2885.TW
金像電(2368.TW),260000,0.99,2368.TW
華通(2313.TW),1107336,0.99,2313.TW
亞德客-KY(1590.TW),193000,0.99,1590.TW
頎邦(6147.TW),1234000,0.93,6147.TW
廣達(2382.TW),664000,0.89,2382.TW
順達(3211.TW),549000,0.89,3211.TW
臻鼎-KY(4958.TW),398000,0.87,4958.TW
健策(3653.TW),63000,0.81,3653.TW
緯創(3231.TW),1401000,0.78,3231.TW
穎崴(6515.TW),27000,0.69,6515.TW
漢唐(2404.TW),126000,0.6,2404.TW
南亞(1303.TW),615000,0.52,1303.TW
日電貿(3090.TW),592000,0.47,3090.TW
崇越(5434.TW),200000,0.45,5434.TW
精材(3374.TW),271000,0.41,3374.TW
富邦金(2881.TW),817000,0.39,2881.TW
光聖(6442.TW),77000,0.39,6442.TW
強茂(2481.TW),565000,0.36,2481.TW
鈊象(3293.TW),133000,0.36,3293.TW
鴻勁(7769.TW),13000,0.33,7769.TW
新普(6121.TW),178000,0.26,6121.TW
嘉基(6715.TW),140000,0.22,6715.TW
台塑化(6505.TW),690000,0.21,6505.TW
大量(3167.TW),61000,0.2,3167.TW
群光(2385.TW),338000,0.14,2385.TW
南茂(8150.TW),236000,0.11,8150.TW
亞翔(6139.TW),12000,0.04,6139.TW
力成(6239.TW),25000,0.03,6239.TW
