個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價,Volume
台積電(2330.TW),7.55,1761000,2330.TW,0.0,0.0,0
欣興(3037.TW),5.85,2902000,3037.TW,0.0,0.0,0
台光電(2383.TW),5.3,536000,2383.TW,0.0,0.0,0
智邦(2345.TW),4.94,1012000,2345.TW,0.0,0.0,0
旺矽(6223.TW),4.04,339000,6223.TW,0.0,0.0,0
緯穎(6669.TW),3.79,400000,6669.TW,0.0,0.0,0
高力(8996.TW),3.79,1674000,8996.TW,0.0,0.0,0
穩懋(3105.TW),3.59,3433000,3105.TW,0.0,0.0,0
創意(3443.TW),3.42,360000,3443.TW,0.0,0.0,0
川湖(2059.TW),3.28,358000,2059.TW,0.0,0.0,0
南電(8046.TW),2.8,1658000,8046.TW,0.0,0.0,0
穎崴(6515.TW),2.76,151000,6515.TW,0.0,0.0,0
貿聯-KY(3665.TW),2.63,667000,3665.TW,0.0,0.0,0
奇鋐(3017.TW),2.52,501000,3017.TW,0.0,0.0,0
世芯-KY(3661.TW),2.46,293000,3661.TW,0.0,0.0,0
聯發科(2454.TW),2.35,272000,2454.TW,0.0,0.0,0
全新(2455.TW),2.28,2927000,2455.TW,0.0,0.0,0
群聯(8299.TW),2.26,489000,8299.TW,0.0,0.0,0
國巨*(2327.TW),2.09,1600000,2327.TW,0.0,0.0,0
聯亞(3081.TW),2.04,380000,3081.TW,0.0,0.0,0
台燿(6274.TW),1.93,636000,6274.TW,0.0,0.0,0
精測(6510.TW),1.92,322000,6510.TW,0.0,0.0,0
南俊國際(6584.TW),1.84,1437000,6584.TW,0.0,0.0,0
金像電(2368.TW),1.72,669000,2368.TW,0.0,0.0,0
台達電(2308.TW),1.68,357000,2308.TW,0.0,0.0,0
嘉澤(3533.TW),1.57,320000,3533.TW,0.0,0.0,0
鴻勁(7769.TW),1.45,100000,7769.TW,0.0,0.0,0
健策(3653.TW),1.35,197000,3653.TW,0.0,0.0,0
竑騰(7751.TW),1.22,384000,7751.TW,0.0,0.0,0
信驊(5274.TW),1.02,30000,5274.TW,0.0,0.0,0
致茂(2360.TW),1.01,207000,2360.TW,0.0,0.0,0
光聖(6442.TW),0.88,230000,6442.TW,0.0,0.0,0
環宇-KY(4991.TW),0.84,574000,4991.TW,0.0,0.0,0
波若威(3163.TW),0.65,319000,3163.TW,0.0,0.0,0
景碩(3189.TW),0.64,486013,3189.TW,0.0,0.0,0
愛普*(6531.TW),0.55,271000,6531.TW,0.0,0.0,0
宜鼎(5289.TW),0.5,157000,5289.TW,0.0,0.0,0
志聖(2467.TW),0.43,347000,2467.TW,0.0,0.0,0
旺宏(2337.TW),0.42,1465000,2337.TW,0.0,0.0,0
印能科技(7734.TW),0.42,59000,7734.TW,0.0,0.0,0
尖點(8021.TW),0.42,518000,8021.TW,0.0,0.0,0
亞翔(6139.TW),0.39,259000,6139.TW,0.0,0.0,0
日月光投控(3711.TW),0.38,320000,3711.TW,0.0,0.0,0
昇達科(3491.TW),0.38,97000,3491.TW,0.0,0.0,0
富世達(6805.TW),0.36,112000,6805.TW,0.0,0.0,0
威剛(3260.TW),0.3,393000,3260.TW,0.0,0.0,0
辛耘(3583.TW),0.05,33000,3583.TW,0.0,0.0,0
