個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),16.71,14000000,2330.TW,2.44,55.0
聯電(2303.TW),4.88,75500000,2303.TW,9.65,11.0
欣興(3037.TW),4.58,8960000,3037.TW,2.06,20.0
奇鋐(3017.TW),4.33,3250000,3017.TW,1.18,30.0
日月光投控(3711.TW),3.86,12101000,3711.TW,9.98,56.0
台光電(2383.TW),3.84,1350000,2383.TW,9.99,500.0
金像電(2368.TW),3.42,4650000,2368.TW,7.14,95.0
國巨*(2327.TW),3.13,8760000,2327.TW,9.86,62.0
智邦(2345.TW),2.56,1950000,2345.TW,2.83,70.0
緯穎(6669.TW),2.2,760000,6669.TW,1.54,85.0
台達電(2308.TW),2.16,1823000,2308.TW,9.31,195.0
華邦電(2344.TW),1.95,29300000,2344.TW,2.8,3.5
旺矽(6223.TW),1.92,600000,6223.TW,2.73,165.0
南電(8046.TW),1.62,3550000,8046.TW,-5.35,-50.0
貿聯-KY(3665.TW),1.58,1285000,3665.TW,7.19,160.0
臻鼎-KY(4958.TW),1.5,5492000,4958.TW,2.52,13.0
群聯(8299.TW),1.49,1163000,8299.TW,2.06,50.0
嘉澤(3533.TW),1.47,1100000,3533.TW,1.17,30.0
信驊(5274.TW),1.42,155000,5274.TW,-0.31,-55.0
聯發科(2454.TW),1.39,632000,2454.TW,9.97,385.0
旺宏(2337.TW),1.12,14232000,2337.TW,2.01,3.0
致茂(2360.TW),1.01,795000,2360.TW,8.37,190.0
創意(3443.TW),0.91,330000,3443.TW,3.31,170.0
聯亞(3081.TW),0.89,590000,3081.TW,7.93,215.0
光聖(6442.TW),0.88,830000,6442.TW,9.87,185.0
世界(5347.TW),0.86,9911000,5347.TW,4.01,6.5
健策(3653.TW),0.84,430000,3653.TW,3.01,110.0
穎崴(6515.TW),0.75,165000,6515.TW,1.72,150.0
力旺(3529.TW),0.75,390000,3529.TW,2.34,85.0
華通(2313.TW),0.66,4300000,2313.TW,7.37,20.5
高力(8996.TW),0.66,1130000,8996.TW,-2.99,-35.0
鴻勁(7769.TW),0.66,166000,7769.TW,-1.1,-85.0
頎邦(6147.TW),0.61,5000000,6147.TW,9.98,21.5
健鼎(3044.TW),0.59,2300000,3044.TW,0.71,3.5
勤誠(8210.TW),0.5,680000,8210.TW,6.69,90.0
金居(8358.TW),0.48,1700000,8358.TW,4.41,23.0
台燿(6274.TW),0.46,551000,6274.TW,9.97,145.0
富世達(6805.TW),0.45,500000,6805.TW,-2.79,-50.0
辛耘(3583.TW),0.43,900000,3583.TW,4.69,41.0
文曄(3036.TW),0.37,2365000,3036.TW,4.33,12.5
譜瑞-KY(4966.TW),0.33,784000,4966.TW,2.89,23.0
華星光(4979.TW),0.29,860000,4979.TW,3.97,25.0
穩懋(3105.TW),0.27,957000,3105.TW,2.26,12.0
上銀(2049.TW),0.21,1010000,2049.TW,4.91,18.5
強茂(2481.TW),0.17,2510000,2481.TW,0.37,0.5
全新(2455.TW),0.1,450000,2455.TW,4.47,19.0
帆宣(6196.TW),0.1,410000,6196.TW,9.95,44.0
中砂(1560.TW),0.03,78000,1560.TW,4.65,32.0
國泰金(2882.TW),0.0,1000,2882.TW,2.26,1.8
順達(3211.TW),0.0,1000,3211.TW,9.92,38.5
